pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,id
176,3,sainte marie de re,,,30/06/2020,False,40748352
437,3,le bois plage en re,,3,30/06/2020,False,16857198
340,3,saint martin de re,,1,30/06/2020,False,22405941
430,3,le bois plage en re,,,30/06/2020,False,33873734
304,3,sainte marie de re,,1,30/06/2020,False,18204197
264,4,la couarde sur mer,,,30/06/2020,False,24008036
375,3,sainte marie de re,,,30/06/2020,False,12976498
444,4,rivedoux plage,,,30/06/2020,False,30524192
277,4,,,,30/06/2020,False,40391657
180,3,la rochelle,,1,30/06/2020,False,42980317
303,3,la couarde sur mer,,,30/06/2020,False,33822917
472,4,,,,30/06/2020,False,20782074
216,4,la rochelle,,,30/06/2020,False,7447043
340,4,sainte marie de re,,,30/06/2020,False,19850715
589,5,sainte marie de re,,3,30/06/2020,False,42172687
610,4,la flotte,,,30/06/2020,False,12734232
881,6,saint martin de re,,5,30/06/2020,False,20600612
727,5,le bois plage en re,,5,30/06/2020,False,36853426
560,4,l houmeau,,5,30/06/2020,False,42241508
589,5,sainte marie de re,,3,30/06/2020,False,38963748
589,5,sainte marie de re,,3,30/06/2020,False,38963748
410,4,sainte marie de re,,3,30/06/2020,False,12962979
213,3,la couarde sur mer,,1,30/06/2020,False,18485059
503,0,sainte marie de re,,3,30/06/2020,False,42164842
264,4,la couarde sur mer,,,30/06/2020,False,24008036
384,4,,,,30/06/2020,False,5944906
727,5,le bois plage en re,,5,30/06/2020,False,36853426
437,4,nieul sur mer,,,30/06/2020,False,26432823
898,4,sainte marie de re,,5,30/06/2020,False,1211378
493,4,le bois plage en re,,5,30/06/2020,False,32300208
508,5,rivedoux plage,,3,30/06/2020,False,40198678
396,5,la rochelle,,5,30/06/2020,False,14455346
471,4,le bois plage en re,,4,30/06/2020,False,21269304
303,3,la rochelle,,1,30/06/2020,False,34005373
829,5,la flotte,,4,30/06/2020,False,26211665
308,4,,,,30/06/2020,False,43318262
391,3,rivedoux plage,,,30/06/2020,False,12256043
635,6,rivedoux plage,,4,30/06/2020,False,6235071
713,5,ars en re,,5,30/06/2020,False,23315373
"1,170",5,ars en re,,5,30/06/2020,False,43315881
441,5,loix,,5,30/06/2020,False,16119699
835,4,rivedoux plage,,3,30/06/2020,False,42881478
690,4,la couarde sur mer,,,30/06/2020,False,41545453
595,3,la flotte,,,30/06/2020,False,13561680
787,4,sainte marie de re,,4,30/06/2020,False,23621860
649,4,loix,,3,30/06/2020,False,979153
421,5,sainte marie de re,,3,30/06/2020,False,26373652
652,6,rivedoux plage,,3,30/06/2020,False,4945576
619,3,loix,,5,30/06/2020,False,15925057
949,6,la couarde sur mer,,3,30/06/2020,False,40408890
482,4,le bois plage en re,,,30/06/2020,False,42995578
435,4,sainte marie de re,,3,30/06/2020,False,16573701
658,3,le bois plage en re,,,30/06/2020,False,39211506
421,3,sainte marie de re,,1,30/06/2020,False,15862832
727,4,le bois plage en re,,4,30/06/2020,False,16119700
837,5,la couarde sur mer,,3,30/06/2020,False,1358373
702,5,rivedoux plage,,5,30/06/2020,False,6817965
544,3,la couarde sur mer,,,30/06/2020,False,1275210
340,3,saint martin de re,,1,07/07/2020,False,22405941
479,3,le bois plage en re,,,07/07/2020,False,33873734
353,3,rivedoux plage,,,07/07/2020,False,34416903
456,4,rivedoux plage,,,07/07/2020,False,30524192
363,3,la couarde sur mer,,,07/07/2020,False,33822917
458,3,sainte marie de re,,,07/07/2020,False,12976498
227,3,sainte marie de re,,,07/07/2020,False,31029748
684,6,saint martin de re,,5,07/07/2020,False,21728129
761,5,le bois plage en re,,5,07/07/2020,False,36853426
540,3,la flotte,,,07/07/2020,False,42728576
881,6,saint martin de re,,5,07/07/2020,False,20600612
419,3,loix,,,07/07/2020,False,23892072
365,4,sainte marie de re,,,07/07/2020,False,17216257
466,4,sainte marie de re,,,07/07/2020,False,19850715
503,0,sainte marie de re,,3,07/07/2020,False,42164842
309,3,sainte marie de re,,,07/07/2020,False,1196922
391,3,rivedoux plage,,,07/07/2020,False,12256043
"1,006",6,le bois plage en re,,5,07/07/2020,False,18305081
396,3,sainte marie de re,,3,07/07/2020,False,28533702
473,3,sainte marie de re,,,07/07/2020,False,3232178
279,3,la couarde sur mer,,1,07/07/2020,False,18485059
983,6,le bois plage en re,,5,07/07/2020,False,3136842
598,5,rivedoux plage,,,07/07/2020,False,31922291
486,3,sainte marie de re,,,07/07/2020,False,22781676
"1,521",6,sainte marie de re,,6,07/07/2020,False,35798765
248,3,rivedoux plage,,1,07/07/2020,False,42725522
720,4,le bois plage en re,,,07/07/2020,False,13507125
248,3,rivedoux plage,,1,07/07/2020,False,41807117
468,4,sainte marie de re,,,07/07/2020,False,25654302
710,4,la flotte,,3,07/07/2020,False,41956735
946,5,sainte marie de re,,3,07/07/2020,False,29669043
685,5,la flotte,,5,07/07/2020,False,19253609
761,5,sainte marie de re,,,07/07/2020,False,36513210
248,3,rivedoux plage,,1,07/07/2020,False,42216319
708,4,la couarde sur mer,,,07/07/2020,False,41545453
515,5,loix,,5,07/07/2020,False,16119699
514,3,sainte marie de re,,,07/07/2020,False,41898522
248,3,rivedoux plage,,1,07/07/2020,False,42885442
619,3,la flotte,,,07/07/2020,False,13561680
776,4,la flotte,,3,07/07/2020,False,21724525
126,2,la rochelle,,1,07/07/2020,False,6311668
685,5,la flotte,,5,07/07/2020,False,19253609
761,5,sainte marie de re,,,07/07/2020,False,36513210
248,3,rivedoux plage,,1,07/07/2020,False,42216319
708,4,la couarde sur mer,,,07/07/2020,False,41545453
245,3,l houmeau,,3,07/07/2020,False,35454487
97,2,la rochelle,,1,07/07/2020,False,42261111
123,2,la rochelle,,1,07/07/2020,False,32411765
514,3,sainte marie de re,,,07/07/2020,False,41898522
515,5,loix,,5,07/07/2020,False,16119699
619,3,la flotte,,,07/07/2020,False,13561680
248,3,rivedoux plage,,1,07/07/2020,False,42885442
480,5,rivedoux plage,,,07/07/2020,False,16172560
776,4,la flotte,,3,07/07/2020,False,21724525
835,4,rivedoux plage,,3,07/07/2020,False,42881478
482,4,le bois plage en re,,,07/07/2020,False,42995578
685,6,rivedoux plage,,3,07/07/2020,False,4945576
677,4,loix,,3,07/07/2020,False,979153
355,3,l houmeau,,4,07/07/2020,False,34859421
644,3,loix,,5,07/07/2020,False,15925057
686,5,,,3,07/07/2020,False,31428953
97,2,la rochelle,,1,07/07/2020,False,42261111
123,2,la rochelle,,1,07/07/2020,False,32411765
514,3,sainte marie de re,,,07/07/2020,False,41898522
515,5,loix,,5,07/07/2020,False,16119699
248,3,rivedoux plage,,1,07/07/2020,False,42885442
209,3,,,,07/07/2020,False,34823568
619,3,la flotte,,,07/07/2020,False,13561680
480,5,rivedoux plage,,,07/07/2020,False,16172560
776,4,la flotte,,3,07/07/2020,False,21724525
835,4,rivedoux plage,,3,07/07/2020,False,42881478
482,4,le bois plage en re,,,07/07/2020,False,42995578
719,4,lagord,,,07/07/2020,False,32510158
685,6,rivedoux plage,,3,07/07/2020,False,4945576
264,4,,,,07/07/2020,False,23457803
677,4,loix,,3,07/07/2020,False,979153
"1,030",4,,,,07/07/2020,False,43029957
355,3,l houmeau,,4,07/07/2020,False,34859421
644,3,loix,,5,07/07/2020,False,15925057
259,3,,,3,07/07/2020,False,19713453
456,4,rivedoux plage,,,14/07/2020,False,30524192
531,3,le bois plage en re,,,14/07/2020,False,33873734
186,3,la rochelle,,1,14/07/2020,False,42980317
542,3,sainte marie de re,,,14/07/2020,False,12976498
684,6,saint martin de re,,5,14/07/2020,False,21728129
761,5,le bois plage en re,,5,14/07/2020,False,36853426
881,6,saint martin de re,,5,14/07/2020,False,20600612
227,3,sainte marie de re,,,14/07/2020,False,31029748
365,4,sainte marie de re,,,14/07/2020,False,17216257
107,2,la rochelle,,1,14/07/2020,False,2220410
320,4,la rochelle,,1,14/07/2020,False,34895735
437,4,nieul sur mer,,,14/07/2020,False,26432823
466,4,sainte marie de re,,,14/07/2020,False,19850715
