pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
,2,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/6406892?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,villa,6406892
,,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/29026478?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,,29026478
,,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/5759974?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,,5759974
,,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/plus/25529485?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,,25529485
,,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/33391140?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,,33391140
,5,lourmarin,,4,30/06/2020,True,https://www.airbnb.fr/rooms/30163845?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,,30163845
,2,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/13663884?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,,13663884
,,puyvert,,1,30/06/2020,True,https://www.airbnb.fr/rooms/6340137?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,,6340137
,,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/32546340?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,,32546340
,3,lourmarin,,,30/06/2020,False,https://www.airbnb.fr/rooms/16742396?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,,16742396
,,lourmarin,,1,30/06/2020,True,https://www.airbnb.fr/rooms/1625526?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,,1625526
,,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/18928261?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,villa,18928261
,,apt,,1,30/06/2020,False,https://www.airbnb.fr/rooms/43285420?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,,43285420
,4,lourmarin,,,30/06/2020,False,https://www.airbnb.fr/rooms/26381404?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,,26381404
,,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/33235491?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,,33235491
,,puyvert,,1,30/06/2020,False,https://www.airbnb.fr/rooms/35295149?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,appartement,35295149
,5,cadenet,,,30/06/2020,True,https://www.airbnb.fr/rooms/18894120?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,villa,18894120
,,lauris,,1,30/06/2020,False,https://www.airbnb.fr/rooms/34086245?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,,34086245
,2,saignon,,,30/06/2020,False,https://www.airbnb.fr/rooms/39206407?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,,39206407
,,puyvert,,1,30/06/2020,False,https://www.airbnb.fr/rooms/34080433?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=7b2ca633-6a99-4846-b300-cc07f973826b,,34080433
,2,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/33534455?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,33534455
,2,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/13489823?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,13489823
,5,lourmarin,,4,30/06/2020,True,https://www.airbnb.fr/rooms/13661222?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,13661222
,3,lourmarin,,1,30/06/2020,True,https://www.airbnb.fr/rooms/19560286?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,villa,19560286
,,cadenet,,1,30/06/2020,False,https://www.airbnb.fr/rooms/20963947?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,20963947
,2,lourmarin,,,30/06/2020,False,https://www.airbnb.fr/rooms/8637829?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,8637829
,,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/23692455?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,23692455
,,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/361953?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,361953
,2,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/35406624?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,35406624
,6,cucuron,,4,30/06/2020,False,https://www.airbnb.fr/rooms/37345538?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,37345538
,3,lourmarin,,3,30/06/2020,False,https://www.airbnb.fr/rooms/4012537?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,4012537
,,puyvert,,1,30/06/2020,False,https://www.airbnb.fr/rooms/33595528?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,33595528
,,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/31604095?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,31604095
,2,bonnieux,,,30/06/2020,False,https://www.airbnb.fr/rooms/21341848?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,21341848
,2,lauris,,1,30/06/2020,False,https://www.airbnb.fr/rooms/18539360?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,18539360
,5,lourmarin,,5,30/06/2020,False,https://www.airbnb.fr/rooms/9404829?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,9404829
,,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/3474411?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,appartement,3474411
,4,cadenet,,3,30/06/2020,False,https://www.airbnb.fr/rooms/38313245?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,38313245
,,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/1828823?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,,1828823
,2,lauris,,,30/06/2020,False,https://www.airbnb.fr/rooms/23727602?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=edf59243-76f7-44f6-8efb-3310bb9402e5,appartement,23727602
,,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/1828823?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=f8f89cec-ef04-4650-a4e6-aa55f9857110,,1828823
,2,lauris,,,30/06/2020,False,https://www.airbnb.fr/rooms/23727602?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=f8f89cec-ef04-4650-a4e6-aa55f9857110,appartement,23727602
,4,lourmarin,,3,30/06/2020,False,https://www.airbnb.fr/rooms/35787494?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=f8f89cec-ef04-4650-a4e6-aa55f9857110,,35787494
,,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/8637888?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=f8f89cec-ef04-4650-a4e6-aa55f9857110,,8637888
,,pertuis,,1,30/06/2020,True,https://www.airbnb.fr/rooms/2191552?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=f8f89cec-ef04-4650-a4e6-aa55f9857110,appartement,2191552
,2,lacoste,,1,30/06/2020,False,https://www.airbnb.fr/rooms/34103203?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=f8f89cec-ef04-4650-a4e6-aa55f9857110,villa,34103203
,,rognes,,1,30/06/2020,False,https://www.airbnb.fr/rooms/21484350?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=f8f89cec-ef04-4650-a4e6-aa55f9857110,,21484350
,,lauris,,1,30/06/2020,False,https://www.airbnb.fr/rooms/14799445?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=f8f89cec-ef04-4650-a4e6-aa55f9857110,villa,14799445
,,menerbes,,1,30/06/2020,False,https://www.airbnb.fr/rooms/21341849?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=f8f89cec-ef04-4650-a4e6-aa55f9857110,,21341849
,,lourmarin,,1,30/06/2020,False,https://www.airbnb.fr/rooms/13820702?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=f8f89cec-ef04-4650-a4e6-aa55f9857110,,13820702
,2,lourmarin,,,30/06/2020,False,https://www.airbnb.fr/rooms/8279398?location=Lourmarin&checkin=&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=f8f89cec-ef04-4650-a4e6-aa55f9857110,,8279398
