pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
169,3,merindol,,,30/06/2020,True,https://www.airbnb.fr/rooms/13931233?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,villa,13931233
185,2,menerbes,,1,30/06/2020,False,https://www.airbnb.fr/rooms/12860198?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,,12860198
208,3,menerbes,,,30/06/2020,True,https://www.airbnb.fr/rooms/3112040?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,,3112040
73,,goult,,1,30/06/2020,False,https://www.airbnb.fr/rooms/19281184?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,,19281184
87,,menerbes,,,30/06/2020,False,https://www.airbnb.fr/rooms/21797588?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,,21797588
99,2,menerbes,,1,30/06/2020,False,https://www.airbnb.fr/rooms/16759652?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,,16759652
389,4,menerbes,,4,30/06/2020,False,https://www.airbnb.fr/rooms/14021398?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,villa,14021398
355,2,menerbes,,,30/06/2020,False,https://www.airbnb.fr/rooms/32689829?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,,32689829
43,,roussillon,,1,30/06/2020,False,https://www.airbnb.fr/rooms/9702281?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,,9702281
120,2,goult,,,30/06/2020,False,https://www.airbnb.fr/rooms/3915290?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,,3915290
75,,bonnieux,,1,30/06/2020,False,https://www.airbnb.fr/rooms/4593072?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,,4593072
87,,lagnes,,1,30/06/2020,False,https://www.airbnb.fr/rooms/plus/23408717?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,appartement,23408717
218,2,oppede,,,30/06/2020,False,https://www.airbnb.fr/rooms/28060799?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,,28060799
224,2,lacoste,,1,30/06/2020,False,https://www.airbnb.fr/rooms/34103203?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,villa,34103203
64,2,oppede,,1,30/06/2020,False,https://www.airbnb.fr/rooms/26662327?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,,26662327
539,4,menerbes,,,30/06/2020,False,https://www.airbnb.fr/rooms/24237217?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,villa,24237217
76,,taillades,,1,30/06/2020,True,https://www.airbnb.fr/rooms/43176388?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,,43176388
257,3,gordes,,1,30/06/2020,True,https://www.airbnb.fr/rooms/517163?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,,517163
44,,menerbes,,1,30/06/2020,False,https://www.airbnb.fr/rooms/19882617?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,,19882617
88,,lagnes,,,30/06/2020,False,https://www.airbnb.fr/rooms/5867420?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=95fb1ec2-f9c2-446c-8e5b-c0f1c62a8e04,,5867420
67,,robion,,1,30/06/2020,False,https://www.airbnb.fr/rooms/18154569?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=b98f0f6a-9849-4fd7-9343-1e3911edd508,,18154569
120,2,menerbes,,,30/06/2020,False,https://www.airbnb.fr/rooms/14134002?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=b98f0f6a-9849-4fd7-9343-1e3911edd508,,14134002
80,2,bonnieux,,1,30/06/2020,False,https://www.airbnb.fr/rooms/22964973?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=b98f0f6a-9849-4fd7-9343-1e3911edd508,,22964973
17,,cadenet,,1,30/06/2020,False,https://www.airbnb.fr/rooms/20963947?location=M%C3%A9nerbes&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=b98f0f6a-9849-4fd7-9343-1e3911edd508,,20963947
