pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
334,3,,,3,07/04/2021,False,https://www.airbnb.fr/rooms/plus/13092887?location=M%C3%A9nerbes&check_in=2021-04-07&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=ce0a40d2-35d9-4bb9-afb4-728bb28268cd,villa,13092887
384,5,goult,,3,07/04/2021,True,https://www.airbnb.fr/rooms/25253909?location=M%C3%A9nerbes&check_in=2021-04-07&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=ce0a40d2-35d9-4bb9-afb4-728bb28268cd,villa,25253909
669,7,cabrieres d avignon,,6,07/04/2021,False,https://www.airbnb.fr/rooms/43262607?location=M%C3%A9nerbes&check_in=2021-04-07&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=ce0a40d2-35d9-4bb9-afb4-728bb28268cd,,43262607
529,5,bonnieux,,5,07/04/2021,False,https://www.airbnb.fr/rooms/33242232?location=M%C3%A9nerbes&check_in=2021-04-07&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=ce0a40d2-35d9-4bb9-afb4-728bb28268cd,,33242232
209,3,oppede,,,07/04/2021,False,https://www.airbnb.fr/rooms/22334902?location=M%C3%A9nerbes&check_in=2021-04-07&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=ce0a40d2-35d9-4bb9-afb4-728bb28268cd,villa,22334902
219,2,oppede,,,07/04/2021,False,https://www.airbnb.fr/rooms/28046025?location=M%C3%A9nerbes&check_in=2021-04-07&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=ce0a40d2-35d9-4bb9-afb4-728bb28268cd,,28046025
757,3,gordes,,,07/04/2021,True,https://www.airbnb.fr/rooms/31918069?location=M%C3%A9nerbes&check_in=2021-04-07&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=ce0a40d2-35d9-4bb9-afb4-728bb28268cd,villa,31918069
254,4,menerbes,,3,07/04/2021,True,https://www.airbnb.fr/rooms/3268009?location=M%C3%A9nerbes&check_in=2021-04-07&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=ce0a40d2-35d9-4bb9-afb4-728bb28268cd,,3268009
605,4,,,,07/04/2021,False,https://www.airbnb.fr/rooms/plus/23975124?location=M%C3%A9nerbes&check_in=2021-04-07&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=ce0a40d2-35d9-4bb9-afb4-728bb28268cd,,23975124
461,8,gordes,,6,07/04/2021,False,https://www.airbnb.fr/rooms/18539334?location=M%C3%A9nerbes&check_in=2021-04-07&check_out=2021-04-11&previous_page_section_name=1000&federated_search_id=ce0a40d2-35d9-4bb9-afb4-728bb28268cd,,18539334
