pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
329,3,menerbes,,,16/12/2020,False,https://www.airbnb.fr/rooms/34161214?location=M%C3%A9nerbes&check_in=2020-12-16&check_out=2020-12-23&previous_page_section_name=1000&federated_search_id=c34007cd-75a1-4446-baa0-3d28bdf8d187,,34161214
568,5,cabrieres d avignon,,4,16/12/2020,False,https://www.airbnb.fr/rooms/23897521?location=M%C3%A9nerbes&check_in=2020-12-16&check_out=2020-12-23&previous_page_section_name=1000&federated_search_id=c34007cd-75a1-4446-baa0-3d28bdf8d187,villa,23897521
349,3,,,3,16/12/2020,False,https://www.airbnb.fr/rooms/plus/13092887?location=M%C3%A9nerbes&check_in=2020-12-16&check_out=2020-12-23&previous_page_section_name=1000&federated_search_id=c34007cd-75a1-4446-baa0-3d28bdf8d187,villa,13092887
490,4,gordes,,4,16/12/2020,False,https://www.airbnb.fr/rooms/27084005?location=M%C3%A9nerbes&check_in=2020-12-16&check_out=2020-12-23&previous_page_section_name=1000&federated_search_id=c34007cd-75a1-4446-baa0-3d28bdf8d187,,27084005
337,4,menerbes,,,16/12/2020,False,https://www.airbnb.fr/rooms/10099693?location=M%C3%A9nerbes&check_in=2020-12-16&check_out=2020-12-23&previous_page_section_name=1000&federated_search_id=c34007cd-75a1-4446-baa0-3d28bdf8d187,,10099693
437,4,menerbes,,,16/12/2020,False,https://www.airbnb.fr/rooms/24237217?location=M%C3%A9nerbes&check_in=2020-12-16&check_out=2020-12-23&previous_page_section_name=1000&federated_search_id=c34007cd-75a1-4446-baa0-3d28bdf8d187,villa,24237217
296,3,goult,,5,16/12/2020,False,https://www.airbnb.fr/rooms/23502449?location=M%C3%A9nerbes&check_in=2020-12-16&check_out=2020-12-23&previous_page_section_name=1000&federated_search_id=c34007cd-75a1-4446-baa0-3d28bdf8d187,villa,23502449
297,3,gordes,,3,16/12/2020,False,https://www.airbnb.fr/rooms/4113910?location=M%C3%A9nerbes&check_in=2020-12-16&check_out=2020-12-23&previous_page_section_name=1000&federated_search_id=c34007cd-75a1-4446-baa0-3d28bdf8d187,,4113910
689,3,menerbes,,3,16/12/2020,False,https://www.airbnb.fr/rooms/38171781?location=M%C3%A9nerbes&check_in=2020-12-16&check_out=2020-12-23&previous_page_section_name=1000&federated_search_id=c34007cd-75a1-4446-baa0-3d28bdf8d187,,38171781
456,3,menerbes,,,16/12/2020,False,https://www.airbnb.fr/rooms/31725249?location=M%C3%A9nerbes&check_in=2020-12-16&check_out=2020-12-23&previous_page_section_name=1000&federated_search_id=c34007cd-75a1-4446-baa0-3d28bdf8d187,,31725249
363,2,gordes,,5,16/12/2020,False,https://www.airbnb.fr/rooms/29394016?location=M%C3%A9nerbes&check_in=2020-12-16&check_out=2020-12-23&previous_page_section_name=1000&federated_search_id=c34007cd-75a1-4446-baa0-3d28bdf8d187,villa,29394016
339,5,gordes,,4,16/12/2020,True,https://www.airbnb.fr/rooms/31900838?location=M%C3%A9nerbes&check_in=2020-12-16&check_out=2020-12-23&previous_page_section_name=1000&federated_search_id=c34007cd-75a1-4446-baa0-3d28bdf8d187,,31900838
