pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
322,3,menerbes,,3,03/02/2021,False,https://www.airbnb.fr/rooms/plus/13092887?location=M%C3%A9nerbes&check_in=2021-02-03&check_out=2021-02-07&previous_page_section_name=1000&federated_search_id=0c32b2c4-4574-4de7-938e-e6723b7ccc2c,,13092887
509,4,gordes,,4,03/02/2021,True,https://www.airbnb.fr/rooms/27084005?location=M%C3%A9nerbes&check_in=2021-02-03&check_out=2021-02-07&previous_page_section_name=1000&federated_search_id=0c32b2c4-4574-4de7-938e-e6723b7ccc2c,,27084005
253,5,goult,,3,03/02/2021,False,https://www.airbnb.fr/rooms/25253909?location=M%C3%A9nerbes&check_in=2021-02-03&check_out=2021-02-07&previous_page_section_name=1000&federated_search_id=0c32b2c4-4574-4de7-938e-e6723b7ccc2c,villa,25253909
669,7,cabrieres d avignon,,6,03/02/2021,True,https://www.airbnb.fr/rooms/43262607?location=M%C3%A9nerbes&check_in=2021-02-03&check_out=2021-02-07&previous_page_section_name=1000&federated_search_id=0c32b2c4-4574-4de7-938e-e6723b7ccc2c,,43262607
529,5,bonnieux,,5,03/02/2021,True,https://www.airbnb.fr/rooms/33242232?location=M%C3%A9nerbes&check_in=2021-02-03&check_out=2021-02-07&previous_page_section_name=1000&federated_search_id=0c32b2c4-4574-4de7-938e-e6723b7ccc2c,,33242232
209,3,oppede,,,03/02/2021,False,https://www.airbnb.fr/rooms/22334902?location=M%C3%A9nerbes&check_in=2021-02-03&check_out=2021-02-07&previous_page_section_name=1000&federated_search_id=0c32b2c4-4574-4de7-938e-e6723b7ccc2c,villa,22334902
254,4,menerbes,,3,03/02/2021,False,https://www.airbnb.fr/rooms/3268009?location=M%C3%A9nerbes&check_in=2021-02-03&check_out=2021-02-07&previous_page_section_name=1000&federated_search_id=0c32b2c4-4574-4de7-938e-e6723b7ccc2c,,3268009
219,2,oppede,,,03/02/2021,True,https://www.airbnb.fr/rooms/28046025?location=M%C3%A9nerbes&check_in=2021-02-03&check_out=2021-02-07&previous_page_section_name=1000&federated_search_id=0c32b2c4-4574-4de7-938e-e6723b7ccc2c,,28046025
461,8,gordes,,6,03/02/2021,True,https://www.airbnb.fr/rooms/18539334?location=M%C3%A9nerbes&check_in=2021-02-03&check_out=2021-02-07&previous_page_section_name=1000&federated_search_id=0c32b2c4-4574-4de7-938e-e6723b7ccc2c,,18539334
229,,goult,,1,03/02/2021,False,https://www.airbnb.fr/rooms/plus/20583730?location=M%C3%A9nerbes&check_in=2021-02-03&check_out=2021-02-07&previous_page_section_name=1000&federated_search_id=0c32b2c4-4574-4de7-938e-e6723b7ccc2c,,20583730
"1,114",6,oppede,,5,03/02/2021,True,https://www.airbnb.fr/rooms/41758473?location=M%C3%A9nerbes&check_in=2021-02-03&check_out=2021-02-07&previous_page_section_name=1000&federated_search_id=0c32b2c4-4574-4de7-938e-e6723b7ccc2c,,41758473
458,4,cavaillon,,4,03/02/2021,False,https://www.airbnb.fr/rooms/plus/19478891?location=M%C3%A9nerbes&check_in=2021-02-03&check_out=2021-02-07&previous_page_section_name=1000&federated_search_id=0c32b2c4-4574-4de7-938e-e6723b7ccc2c,,19478891
264,,,,1,03/02/2021,False,https://www.airbnb.fr/rooms/plus/20580037?location=M%C3%A9nerbes&check_in=2021-02-03&check_out=2021-02-07&previous_page_section_name=1000&federated_search_id=0c32b2c4-4574-4de7-938e-e6723b7ccc2c,villa,20580037
690,6,gordes,,5,03/02/2021,False,https://www.airbnb.fr/rooms/39474461?location=M%C3%A9nerbes&check_in=2021-02-03&check_out=2021-02-07&previous_page_section_name=1000&federated_search_id=0c32b2c4-4574-4de7-938e-e6723b7ccc2c,,39474461
