pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
446,3,menerbes,,,06/01/2021,True,https://www.airbnb.fr/rooms/34161214?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,,34161214
313,3,,,3,06/01/2021,False,https://www.airbnb.fr/rooms/plus/13092887?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,villa,13092887
337,4,menerbes,,,06/01/2021,False,https://www.airbnb.fr/rooms/10099693?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,,10099693
626,5,cabrieres d avignon,,4,06/01/2021,True,https://www.airbnb.fr/rooms/23897521?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,villa,23897521
490,4,gordes,,4,06/01/2021,False,https://www.airbnb.fr/rooms/27084005?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,,27084005
462,3,menerbes,,,06/01/2021,False,https://www.airbnb.fr/rooms/31725249?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,,31725249
363,2,gordes,,5,06/01/2021,False,https://www.airbnb.fr/rooms/29394016?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,villa,29394016
339,5,gordes,,4,06/01/2021,False,https://www.airbnb.fr/rooms/31900838?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,,31900838
321,5,fontaine de vaucluse,,,06/01/2021,True,https://www.airbnb.fr/rooms/19323898?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,villa,19323898
233,5,goult,,3,06/01/2021,False,https://www.airbnb.fr/rooms/25253909?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,villa,25253909
406,4,,,4,06/01/2021,False,https://www.airbnb.fr/rooms/18229853?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,,18229853
307,4,menerbes,,4,06/01/2021,True,https://www.airbnb.fr/rooms/14021398?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,villa,14021398
632,3,menerbes,,3,06/01/2021,False,https://www.airbnb.fr/rooms/38171781?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,,38171781
444,4,,,,06/01/2021,False,https://www.airbnb.fr/rooms/plus/23975124?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,,23975124
247,4,menerbes,,3,06/01/2021,False,https://www.airbnb.fr/rooms/3268009?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,,3268009
395,2,gordes,,5,06/01/2021,True,https://www.airbnb.fr/rooms/38752883?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,villa,38752883
670,7,cabrieres d avignon,,6,06/01/2021,False,https://www.airbnb.fr/rooms/43262607?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,,43262607
888,5,menerbes,,5,06/01/2021,False,https://www.airbnb.fr/rooms/11752558?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,,11752558
299,4,menerbes,,,06/01/2021,False,https://www.airbnb.fr/rooms/3136592?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,,3136592
206,3,oppede,,,06/01/2021,False,https://www.airbnb.fr/rooms/22334902?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=d85d7cb5-59fb-4cb4-b379-51bd474a47dd,villa,22334902
321,5,fontaine de vaucluse,,,06/01/2021,False,https://www.airbnb.fr/rooms/19323898?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,villa,19323898
430,3,lacoste,,,06/01/2021,False,https://www.airbnb.fr/rooms/24661366?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,,24661366
207,,goult,,1,06/01/2021,False,https://www.airbnb.fr/rooms/plus/20583730?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,,20583730
504,5,bonnieux,,5,06/01/2021,False,https://www.airbnb.fr/rooms/33242232?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,,33242232
354,4,joucas,,,06/01/2021,False,https://www.airbnb.fr/rooms/33901206?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,villa,33901206
461,8,gordes,,6,06/01/2021,False,https://www.airbnb.fr/rooms/18539334?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,,18539334
438,4,cavaillon,,4,06/01/2021,False,https://www.airbnb.fr/rooms/plus/19478891?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,,19478891
380,4,bonnieux,,3,06/01/2021,True,https://www.airbnb.fr/rooms/14877439?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,villa,14877439
347,3,saint pantaleon,,4,06/01/2021,False,https://www.airbnb.fr/rooms/14954874?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,,14954874
240,,,,1,06/01/2021,False,https://www.airbnb.fr/rooms/plus/20580037?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,villa,20580037
636,6,gordes,,5,06/01/2021,True,https://www.airbnb.fr/rooms/39474461?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,,39474461
"1,089",6,oppede,,5,06/01/2021,True,https://www.airbnb.fr/rooms/41758473?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,,41758473
673,7,,,5,06/01/2021,False,https://www.airbnb.fr/rooms/plus/12790036?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,villa,12790036
432,5,gordes,,5,06/01/2021,True,https://www.airbnb.fr/rooms/39661427?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,,39661427
437,4,menerbes,,,06/01/2021,False,https://www.airbnb.fr/rooms/24237217?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,villa,24237217
888,5,menerbes,,5,06/01/2021,False,https://www.airbnb.fr/rooms/11752558?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,,11752558
207,2,goult,,5,06/01/2021,False,https://www.airbnb.fr/rooms/28244094?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,,28244094
393,3,,,,06/01/2021,False,https://www.airbnb.fr/rooms/7230774?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,,7230774
408,3,menerbes,,5,06/01/2021,False,https://www.airbnb.fr/rooms/36508692?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,villa,36508692
"1,042",5,oppede,,4,06/01/2021,False,https://www.airbnb.fr/rooms/17815467?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=74c3118c-735c-4da0-84bb-6f083e3ce0d2,villa,17815467
"1,042",5,oppede,,4,06/01/2021,False,https://www.airbnb.fr/rooms/17815467?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=c885a23e-c7a6-4096-9f32-75af2159f285,villa,17815467
673,7,,,5,06/01/2021,False,https://www.airbnb.fr/rooms/plus/12790036?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=c885a23e-c7a6-4096-9f32-75af2159f285,villa,12790036
438,4,cavaillon,,4,06/01/2021,False,https://www.airbnb.fr/rooms/plus/19478891?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=c885a23e-c7a6-4096-9f32-75af2159f285,,19478891
349,4,oppede,,3,06/01/2021,True,https://www.airbnb.fr/rooms/38836983?location=M%C3%A9nerbes&check_in=2021-01-06&check_out=2021-01-13&previous_page_section_name=1000&federated_search_id=c885a23e-c7a6-4096-9f32-75af2159f285,villa,38836983
