pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
529,5,,,5,02/06/2021,False,https://www.airbnb.fr/rooms/33242232?location=M%C3%A9nerbes&check_in=2021-06-02&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=3267a4e1-a04b-46a4-9484-789facab4600,,33242232
243,2,,,,02/06/2021,False,https://www.airbnb.fr/rooms/28046025?location=M%C3%A9nerbes&check_in=2021-06-02&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=3267a4e1-a04b-46a4-9484-789facab4600,,28046025
669,7,,,6,02/06/2021,False,https://www.airbnb.fr/rooms/43262607?location=M%C3%A9nerbes&check_in=2021-06-02&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=3267a4e1-a04b-46a4-9484-789facab4600,,43262607
238,2,,,,02/06/2021,False,https://www.airbnb.fr/rooms/25225613?location=M%C3%A9nerbes&check_in=2021-06-02&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=3267a4e1-a04b-46a4-9484-789facab4600,,25225613
757,3,,,,02/06/2021,False,https://www.airbnb.fr/rooms/31918069?location=M%C3%A9nerbes&check_in=2021-06-02&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=3267a4e1-a04b-46a4-9484-789facab4600,,31918069
461,8,,,6,02/06/2021,False,https://www.airbnb.fr/rooms/18539334?location=M%C3%A9nerbes&check_in=2021-06-02&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=3267a4e1-a04b-46a4-9484-789facab4600,,18539334
254,4,,,3,02/06/2021,False,https://www.airbnb.fr/rooms/3268009?location=M%C3%A9nerbes&check_in=2021-06-02&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=3267a4e1-a04b-46a4-9484-789facab4600,,3268009
424,4,,,3,02/06/2021,False,https://www.airbnb.fr/rooms/24047009?location=M%C3%A9nerbes&check_in=2021-06-02&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=3267a4e1-a04b-46a4-9484-789facab4600,,24047009
243,2,,,5,02/06/2021,False,https://www.airbnb.fr/rooms/28244094?location=M%C3%A9nerbes&check_in=2021-06-02&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=3267a4e1-a04b-46a4-9484-789facab4600,,28244094
376,,,,1,02/06/2021,False,https://www.airbnb.fr/rooms/30167702?location=M%C3%A9nerbes&check_in=2021-06-02&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=3267a4e1-a04b-46a4-9484-789facab4600,,30167702
