pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
322,3,,,3,03/03/2021,False,https://www.airbnb.fr/rooms/plus/13092887?location=M%C3%A9nerbes&check_in=2021-03-03&check_out=2021-03-07&previous_page_section_name=1000&federated_search_id=ac0dd846-ea98-4eb3-9abd-4f5a37471b6e,villa,13092887
509,4,gordes,,4,03/03/2021,False,https://www.airbnb.fr/rooms/27084005?location=M%C3%A9nerbes&check_in=2021-03-03&check_out=2021-03-07&previous_page_section_name=1000&federated_search_id=ac0dd846-ea98-4eb3-9abd-4f5a37471b6e,,27084005
251,5,goult,,3,03/03/2021,False,https://www.airbnb.fr/rooms/25253909?location=M%C3%A9nerbes&check_in=2021-03-03&check_out=2021-03-07&previous_page_section_name=1000&federated_search_id=ac0dd846-ea98-4eb3-9abd-4f5a37471b6e,villa,25253909
669,7,cabrieres d avignon,,6,03/03/2021,False,https://www.airbnb.fr/rooms/43262607?location=M%C3%A9nerbes&check_in=2021-03-03&check_out=2021-03-07&previous_page_section_name=1000&federated_search_id=ac0dd846-ea98-4eb3-9abd-4f5a37471b6e,,43262607
529,5,bonnieux,,5,03/03/2021,False,https://www.airbnb.fr/rooms/33242232?location=M%C3%A9nerbes&check_in=2021-03-03&check_out=2021-03-07&previous_page_section_name=1000&federated_search_id=ac0dd846-ea98-4eb3-9abd-4f5a37471b6e,,33242232
209,3,oppede,,,03/03/2021,True,https://www.airbnb.fr/rooms/22334902?location=M%C3%A9nerbes&check_in=2021-03-03&check_out=2021-03-07&previous_page_section_name=1000&federated_search_id=ac0dd846-ea98-4eb3-9abd-4f5a37471b6e,villa,22334902
219,2,oppede,,,03/03/2021,True,https://www.airbnb.fr/rooms/28046025?location=M%C3%A9nerbes&check_in=2021-03-03&check_out=2021-03-07&previous_page_section_name=1000&federated_search_id=ac0dd846-ea98-4eb3-9abd-4f5a37471b6e,,28046025
254,4,menerbes,,3,03/03/2021,False,https://www.airbnb.fr/rooms/3268009?location=M%C3%A9nerbes&check_in=2021-03-03&check_out=2021-03-07&previous_page_section_name=1000&federated_search_id=ac0dd846-ea98-4eb3-9abd-4f5a37471b6e,,3268009
757,3,gordes,,,03/03/2021,False,https://www.airbnb.fr/rooms/31918069?location=M%C3%A9nerbes&check_in=2021-03-03&check_out=2021-03-07&previous_page_section_name=1000&federated_search_id=ac0dd846-ea98-4eb3-9abd-4f5a37471b6e,villa,31918069
461,8,gordes,,6,03/03/2021,False,https://www.airbnb.fr/rooms/18539334?location=M%C3%A9nerbes&check_in=2021-03-03&check_out=2021-03-07&previous_page_section_name=1000&federated_search_id=ac0dd846-ea98-4eb3-9abd-4f5a37471b6e,,18539334
"1,114",6,oppede,,5,03/03/2021,True,https://www.airbnb.fr/rooms/41758473?location=M%C3%A9nerbes&check_in=2021-03-03&check_out=2021-03-07&previous_page_section_name=1000&federated_search_id=ac0dd846-ea98-4eb3-9abd-4f5a37471b6e,,41758473
