pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
701,4,,,5,05/05/2021,False,https://www.airbnb.fr/rooms/14386288?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,villa,14386288
274,,,,1,05/05/2021,False,https://www.airbnb.fr/rooms/1796816?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,,1796816
"1,206",5,,,5,05/05/2021,False,https://www.airbnb.fr/rooms/6049149?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,,6049149
331,2,,,5,05/05/2021,False,https://www.airbnb.fr/rooms/530250?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,,530250
222,3,,,5,05/05/2021,False,https://www.airbnb.fr/rooms/6061103?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,,6061103
276,,,,1,05/05/2021,True,https://www.airbnb.fr/rooms/5771737?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,villa,5771737
775,4,,,3,05/05/2021,False,https://www.airbnb.fr/rooms/4869137?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,,4869137
673,4,,,4,05/05/2021,False,https://www.airbnb.fr/rooms/3575350?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,villa,3575350
343,,,,1,05/05/2021,False,https://www.airbnb.fr/rooms/2615058?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,,2615058
313,,,,,05/05/2021,False,https://www.airbnb.fr/rooms/12967859?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,villa,12967859
258,2,,,,05/05/2021,False,https://www.airbnb.fr/rooms/22913810?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,,22913810
294,,,,1,05/05/2021,False,https://www.airbnb.fr/rooms/1238125?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,,1238125
233,,,,1,05/05/2021,False,https://www.airbnb.fr/rooms/plus/11456514?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,,11456514
244,4,,,1,05/05/2021,False,https://www.airbnb.fr/rooms/673009?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,,673009
380,6,,,5,05/05/2021,False,https://www.airbnb.fr/rooms/1706944?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,,1706944
233,2,,,,05/05/2021,False,https://www.airbnb.fr/rooms/18645708?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,villa,18645708
350,,,,1,05/05/2021,True,https://www.airbnb.fr/rooms/2530074?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,,2530074
264,,,,1,05/05/2021,True,https://www.airbnb.fr/rooms/7570681?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,,7570681
215,2,,,,05/05/2021,False,https://www.airbnb.fr/rooms/185798?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,villa,185798
458,,,,1,05/05/2021,True,https://www.airbnb.fr/rooms/10634001?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=486f698e-aa53-438b-859e-3c89e6531173,,10634001
327,3,menerbes,,,05/05/2021,True,https://www.airbnb.fr/rooms/25712130?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=0048ec7f-3c65-475c-84ca-656b4ac599f4,,25712130
497,3,lacoste,,5,05/05/2021,True,https://www.airbnb.fr/rooms/33575675?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=0048ec7f-3c65-475c-84ca-656b4ac599f4,,33575675
770,5,mallemort,,6,05/05/2021,False,https://www.airbnb.fr/rooms/42875208?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=0048ec7f-3c65-475c-84ca-656b4ac599f4,villa,42875208
376,,gordes,,1,05/05/2021,False,https://www.airbnb.fr/rooms/18930723?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=0048ec7f-3c65-475c-84ca-656b4ac599f4,,18930723
226,2,gordes,,,05/05/2021,False,https://www.airbnb.fr/rooms/26383326?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=0048ec7f-3c65-475c-84ca-656b4ac599f4,,26383326
"1,822",5,oppede,,4,05/05/2021,False,https://www.airbnb.fr/rooms/17815467?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=0048ec7f-3c65-475c-84ca-656b4ac599f4,villa,17815467
212,,goult,,1,05/05/2021,False,https://www.airbnb.fr/rooms/28960846?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=0048ec7f-3c65-475c-84ca-656b4ac599f4,,28960846
314,3,lacoste,,,05/05/2021,False,https://www.airbnb.fr/rooms/10956579?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=0048ec7f-3c65-475c-84ca-656b4ac599f4,,10956579
263,,gordes,,1,05/05/2021,False,https://www.airbnb.fr/rooms/20263499?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=0048ec7f-3c65-475c-84ca-656b4ac599f4,,20263499
494,3,gordes,,5,05/05/2021,False,https://www.airbnb.fr/rooms/32539403?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=0048ec7f-3c65-475c-84ca-656b4ac599f4,,32539403
253,3,gordes,,5,05/05/2021,True,https://www.airbnb.fr/rooms/41629438?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=0048ec7f-3c65-475c-84ca-656b4ac599f4,,41629438
247,2,lagnes,,1,05/05/2021,False,https://www.airbnb.fr/rooms/6754679?location=M%C3%A9nerbes&check_in=2021-05-05&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=0048ec7f-3c65-475c-84ca-656b4ac599f4,,6754679
