pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
342,3,menerbes,,3,03/11/2020,False,https://www.airbnb.fr/rooms/plus/13092887?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,,13092887
329,3,menerbes,,,03/11/2020,True,https://www.airbnb.fr/rooms/34161214?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,,34161214
437,4,menerbes,,,03/11/2020,False,https://www.airbnb.fr/rooms/24237217?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,villa,24237217
490,4,gordes,,4,03/11/2020,False,https://www.airbnb.fr/rooms/27084005?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,,27084005
363,2,gordes,,5,03/11/2020,True,https://www.airbnb.fr/rooms/29394016?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,villa,29394016
337,4,menerbes,,,03/11/2020,False,https://www.airbnb.fr/rooms/10099693?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,,10099693
568,5,cabrieres d avignon,,4,03/11/2020,False,https://www.airbnb.fr/rooms/23897521?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,villa,23897521
296,3,goult,,5,03/11/2020,True,https://www.airbnb.fr/rooms/23502449?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,villa,23502449
247,4,menerbes,,3,03/11/2020,True,https://www.airbnb.fr/rooms/3268009?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,,3268009
231,5,goult,,3,03/11/2020,False,https://www.airbnb.fr/rooms/25253909?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,villa,25253909
403,2,oppede,,,03/11/2020,False,https://www.airbnb.fr/rooms/24596959?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,,24596959
300,3,gordes,,3,03/11/2020,False,https://www.airbnb.fr/rooms/4113910?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,,4113910
339,5,gordes,,4,03/11/2020,False,https://www.airbnb.fr/rooms/31900838?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,,31900838
406,4,,,4,03/11/2020,False,https://www.airbnb.fr/rooms/18229853?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,,18229853
312,5,oppede,,3,03/11/2020,False,https://www.airbnb.fr/rooms/23962654?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,villa,23962654
437,3,menerbes,,,03/11/2020,False,https://www.airbnb.fr/rooms/31725249?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,,31725249
307,4,menerbes,,4,03/11/2020,True,https://www.airbnb.fr/rooms/14021398?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,villa,14021398
670,7,cabrieres d avignon,,6,03/11/2020,True,https://www.airbnb.fr/rooms/43262607?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,,43262607
209,2,oppede,,,03/11/2020,False,https://www.airbnb.fr/rooms/28046025?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,,28046025
299,4,menerbes,,,03/11/2020,True,https://www.airbnb.fr/rooms/3136592?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2d4325ed-e0ce-4413-851a-2af7c188c43e,,3136592
299,4,menerbes,,,03/11/2020,False,https://www.airbnb.fr/rooms/3136592?location=M%C3%A9nerbes&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=2516af70-6eb2-4f09-9ef6-072a4a69a90e,,3136592
