pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
505,4,gordes,,4,06/10/2020,False,https://www.airbnb.fr/rooms/27084005?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,,27084005
437,4,menerbes,,,06/10/2020,False,https://www.airbnb.fr/rooms/24237217?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,villa,24237217
420,3,lacoste,,,06/10/2020,True,https://www.airbnb.fr/rooms/30045793?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,,30045793
363,2,gordes,,5,06/10/2020,False,https://www.airbnb.fr/rooms/29394016?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,villa,29394016
332,5,goult,,3,06/10/2020,True,https://www.airbnb.fr/rooms/25253909?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,villa,25253909
247,4,menerbes,,3,06/10/2020,True,https://www.airbnb.fr/rooms/3268009?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,,3268009
355,2,menerbes,,,06/10/2020,True,https://www.airbnb.fr/rooms/32689829?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,,32689829
394,3,gordes,,,06/10/2020,True,https://www.airbnb.fr/rooms/31918069?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,villa,31918069
318,3,goult,,5,06/10/2020,True,https://www.airbnb.fr/rooms/23502449?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,villa,23502449
626,5,cabrieres d avignon,,4,06/10/2020,False,https://www.airbnb.fr/rooms/23897521?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,villa,23897521
309,3,gordes,,3,06/10/2020,False,https://www.airbnb.fr/rooms/4113910?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,,4113910
403,2,oppede,,,06/10/2020,True,https://www.airbnb.fr/rooms/24596959?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,,24596959
304,5,oppede,,3,06/10/2020,False,https://www.airbnb.fr/rooms/23962654?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,villa,23962654
459,3,menerbes,,,06/10/2020,True,https://www.airbnb.fr/rooms/31725249?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,,31725249
339,5,gordes,,4,06/10/2020,True,https://www.airbnb.fr/rooms/31900838?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,,31900838
307,4,menerbes,,4,06/10/2020,False,https://www.airbnb.fr/rooms/14021398?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,villa,14021398
406,4,,,4,06/10/2020,False,https://www.airbnb.fr/rooms/18229853?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,,18229853
430,3,lacoste,,,06/10/2020,False,https://www.airbnb.fr/rooms/24661366?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,,24661366
412,3,menerbes,,5,06/10/2020,True,https://www.airbnb.fr/rooms/34700429?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,,34700429
335,4,,,,06/10/2020,False,https://www.airbnb.fr/rooms/1125785?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=a4209a6a-5a5c-4777-8a5d-fa4905a1b767,,1125785
335,4,,,,06/10/2020,False,https://www.airbnb.fr/rooms/1125785?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,,1125785
957,5,goult,,5,06/10/2020,False,https://www.airbnb.fr/rooms/39724723?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,,39724723
231,2,oppede,,,06/10/2020,True,https://www.airbnb.fr/rooms/28046025?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,,28046025
332,3,lacoste,,5,06/10/2020,False,https://www.airbnb.fr/rooms/33575675?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,,33575675
430,3,lacoste,,,06/10/2020,False,https://www.airbnb.fr/rooms/24661366?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,,24661366
504,5,bonnieux,,5,06/10/2020,False,https://www.airbnb.fr/rooms/33242232?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,,33242232
207,,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/plus/20583730?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,,20583730
299,4,menerbes,,,06/10/2020,False,https://www.airbnb.fr/rooms/3136592?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,,3136592
670,7,cabrieres d avignon,,6,06/10/2020,True,https://www.airbnb.fr/rooms/43262607?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,,43262607
599,6,gordes,,5,06/10/2020,False,https://www.airbnb.fr/rooms/939090?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,villa,939090
406,3,saint pantaleon,,4,06/10/2020,False,https://www.airbnb.fr/rooms/14954874?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,,14954874
646,4,menerbes,,4,06/10/2020,False,https://www.airbnb.fr/rooms/42155488?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,,42155488
424,5,gordes,,5,06/10/2020,True,https://www.airbnb.fr/rooms/39661427?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,,39661427
206,3,oppede,,,06/10/2020,False,https://www.airbnb.fr/rooms/22334902?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,villa,22334902
395,2,gordes,,5,06/10/2020,True,https://www.airbnb.fr/rooms/38752883?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,villa,38752883
390,3,bonnieux,,5,06/10/2020,False,https://www.airbnb.fr/rooms/36661846?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,,36661846
429,3,lourmarin,,,06/10/2020,False,https://www.airbnb.fr/rooms/16742396?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,,16742396
240,,goult,,1,06/10/2020,False,https://www.airbnb.fr/rooms/plus/20580037?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,villa,20580037
344,2,oppede,,,06/10/2020,False,https://www.airbnb.fr/rooms/24596921?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,,24596921
291,7,goult,,4,06/10/2020,False,https://www.airbnb.fr/rooms/428880?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=1d62eaa5-f686-43d6-9f44-5decc092f284,,428880
350,3,gordes,,,06/10/2020,True,https://www.airbnb.fr/rooms/16385047?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=6c4067e0-ba5d-4a95-b938-c5dacfaa8461,,16385047
291,7,goult,,4,06/10/2020,False,https://www.airbnb.fr/rooms/428880?location=M%C3%A9nerbes&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=6c4067e0-ba5d-4a95-b938-c5dacfaa8461,,428880
