pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
588,5,menerbes,,5,01/09/2020,False,https://www.airbnb.fr/rooms/6668424?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,6668424
588,5,roussillon,,4,01/09/2020,False,https://www.airbnb.fr/rooms/43006188?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,43006188
355,2,menerbes,,,01/09/2020,False,https://www.airbnb.fr/rooms/32689829?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,32689829
478,3,lacoste,,5,01/09/2020,False,https://www.airbnb.fr/rooms/33575675?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,33575675
361,2,oppede,,,01/09/2020,False,https://www.airbnb.fr/rooms/41735136?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,41735136
462,2,gordes,,5,01/09/2020,False,https://www.airbnb.fr/rooms/29394016?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,villa,29394016
467,3,menerbes,,,01/09/2020,False,https://www.airbnb.fr/rooms/31725249?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,31725249
354,4,menerbes,,4,01/09/2020,False,https://www.airbnb.fr/rooms/14021398?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,villa,14021398
366,3,menerbes,,5,01/09/2020,True,https://www.airbnb.fr/rooms/34700429?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,34700429
430,3,lacoste,,,01/09/2020,False,https://www.airbnb.fr/rooms/24661366?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,24661366
242,2,oppede,,,01/09/2020,False,https://www.airbnb.fr/rooms/28046025?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,28046025
"1,114",3,menerbes,,3,01/09/2020,False,https://www.airbnb.fr/rooms/38171781?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,38171781
275,2,gordes,,,01/09/2020,False,https://www.airbnb.fr/rooms/4519673?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,4519673
966,5,goult,,5,01/09/2020,False,https://www.airbnb.fr/rooms/39724723?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,39724723
539,5,lacoste,,5,01/09/2020,False,https://www.airbnb.fr/rooms/514335?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,514335
467,7,goult,,4,01/09/2020,False,https://www.airbnb.fr/rooms/428880?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,428880
393,4,menerbes,,,01/09/2020,False,https://www.airbnb.fr/rooms/3136592?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,3136592
456,3,saint pantaleon,,4,01/09/2020,False,https://www.airbnb.fr/rooms/14954874?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,14954874
207,,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/plus/20583730?location=M%C3%A9nerbes&check_in=2020-09-01&check_out=2020-09-08&previous_page_section_name=1000&federated_search_id=575c94c6-f43c-415c-9eb4-3cfa2c6f6a32,,20583730
