pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
304,3,sainte marie de re,,1,30/06/2020,False,https://www.airbnb.fr/rooms/18204197?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=1d92e67d-417e-4e7e-a455-c171f89784bf,villa,18204197
340,3,saint martin de re,,1,30/06/2020,False,https://www.airbnb.fr/rooms/22405941?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=1d92e67d-417e-4e7e-a455-c171f89784bf,,22405941
437,3,le bois plage en re,,3,30/06/2020,False,https://www.airbnb.fr/rooms/16857198?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=1d92e67d-417e-4e7e-a455-c171f89784bf,villa,16857198
264,4,la couarde sur mer,,,30/06/2020,False,https://www.airbnb.fr/rooms/24008036?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=1d92e67d-417e-4e7e-a455-c171f89784bf,,24008036
430,3,le bois plage en re,,,30/06/2020,True,https://www.airbnb.fr/rooms/33873734?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=1d92e67d-417e-4e7e-a455-c171f89784bf,,33873734
301,4,,,,30/06/2020,False,https://www.airbnb.fr/rooms/41589286?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=1d92e67d-417e-4e7e-a455-c171f89784bf,villa,41589286
472,4,,,,30/06/2020,True,https://www.airbnb.fr/rooms/20782074?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=1d92e67d-417e-4e7e-a455-c171f89784bf,,20782074
410,4,sainte marie de re,,3,30/06/2020,False,https://www.airbnb.fr/rooms/12962979?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=1d92e67d-417e-4e7e-a455-c171f89784bf,villa,12962979
444,4,rivedoux plage,,,30/06/2020,False,https://www.airbnb.fr/rooms/30524192?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=1d92e67d-417e-4e7e-a455-c171f89784bf,villa,30524192
216,4,la rochelle,,,30/06/2020,False,https://www.airbnb.fr/rooms/7447043?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=1d92e67d-417e-4e7e-a455-c171f89784bf,,7447043
