pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
377,4,,,,04/08/2020,False,https://www.airbnb.fr/rooms/43318262?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,villa,43318262
575,3,rivedoux plage,,3,04/08/2020,False,https://www.airbnb.fr/rooms/33343343?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,villa,33343343
331,3,,,,04/08/2020,False,https://www.airbnb.fr/rooms/33328681?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,,33328681
570,4,sainte marie de re,,,04/08/2020,True,https://www.airbnb.fr/rooms/24593561?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,,24593561
457,5,la rochelle,,3,04/08/2020,False,https://www.airbnb.fr/rooms/24315752?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,,24315752
720,4,le bois plage en re,,,04/08/2020,True,https://www.airbnb.fr/rooms/13507125?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,,13507125
548,3,sainte marie de re,,,04/08/2020,True,https://www.airbnb.fr/rooms/3232178?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,,3232178
715,3,le bois plage en re,,,04/08/2020,False,https://www.airbnb.fr/rooms/15844141?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,,15844141
569,4,l houmeau,,,04/08/2020,True,https://www.airbnb.fr/rooms/29237359?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,,29237359
625,3,,,3,04/08/2020,False,https://www.airbnb.fr/rooms/29960783?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,villa,29960783
835,4,rivedoux plage,,3,04/08/2020,True,https://www.airbnb.fr/rooms/42881478?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,,42881478
498,4,,,,04/08/2020,False,https://www.airbnb.fr/rooms/33860869?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,villa,33860869
563,4,rivedoux plage,,,04/08/2020,True,https://www.airbnb.fr/rooms/13397150?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,villa,13397150
349,3,la couarde sur mer,,,04/08/2020,False,https://www.airbnb.fr/rooms/29576834?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,,29576834
488,3,,,,04/08/2020,False,https://www.airbnb.fr/rooms/3887370?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,,3887370
583,3,la flotte,,,04/08/2020,False,https://www.airbnb.fr/rooms/19716374?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,,19716374
319,3,,,,04/08/2020,True,https://www.airbnb.fr/rooms/42787922?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,,42787922
490,4,nieul sur mer,,3,04/08/2020,False,https://www.airbnb.fr/rooms/20423674?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,,20423674
"1,053",5,la flotte,,3,04/08/2020,True,https://www.airbnb.fr/rooms/1510704?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,villa,1510704
327,5,la rochelle,,5,04/08/2020,False,https://www.airbnb.fr/rooms/24628461?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=b54353fa-2b37-41d3-bbaa-006edfd80c30,,24628461
498,4,,,,04/08/2020,False,https://www.airbnb.fr/rooms/33860869?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=54f2d6d5-1f50-4b93-afec-35962dff5f7a,villa,33860869
825,5,loix,,5,04/08/2020,False,https://www.airbnb.fr/rooms/16119699?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=54f2d6d5-1f50-4b93-afec-35962dff5f7a,villa,16119699
"1,053",5,la flotte,,3,04/08/2020,False,https://www.airbnb.fr/rooms/1510704?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-08-04&check_out=2020-08-11&previous_page_section_name=1000&federated_search_id=54f2d6d5-1f50-4b93-afec-35962dff5f7a,villa,1510704
