pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
297,4,la flotte,,3,01/12/2020,False,https://www.airbnb.fr/rooms/plus/13664992?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,,13664992
560,6,saint martin de re,,6,01/12/2020,True,https://www.airbnb.fr/rooms/33418725?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,,33418725
419,5,saint martin de re,,5,01/12/2020,False,https://www.airbnb.fr/rooms/39050748?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,villa,39050748
333,4,la flotte,,,01/12/2020,False,https://www.airbnb.fr/rooms/12734232?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,,12734232
432,5,la flotte,,4,01/12/2020,True,https://www.airbnb.fr/rooms/38939476?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,villa,38939476
512,4,saint martin de re,,,01/12/2020,False,https://www.airbnb.fr/rooms/12749062?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,villa,12749062
385,4,le bois plage en re,,5,01/12/2020,True,https://www.airbnb.fr/rooms/32300208?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,villa,32300208
628,5,le bois plage en re,,4,01/12/2020,True,https://www.airbnb.fr/rooms/21742914?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,villa,21742914
467,4,sainte marie de re,,5,01/12/2020,False,https://www.airbnb.fr/rooms/1211378?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,,1211378
621,4,sainte marie de re,,5,01/12/2020,True,https://www.airbnb.fr/rooms/32785452?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,villa,32785452
277,3,la flotte,,3,01/12/2020,True,https://www.airbnb.fr/rooms/21344501?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,villa,21344501
316,4,le bois plage en re,,3,01/12/2020,False,https://www.airbnb.fr/rooms/32852482?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,villa,32852482
355,3,sainte marie de re,,,01/12/2020,True,https://www.airbnb.fr/rooms/17179410?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,,17179410
837,6,sainte marie de re,,6,01/12/2020,False,https://www.airbnb.fr/rooms/35798765?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,,35798765
881,6,saint martin de re,,5,01/12/2020,True,https://www.airbnb.fr/rooms/20600612?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,villa,20600612
414,5,,,4,01/12/2020,False,https://www.airbnb.fr/rooms/38771864?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,,38771864
270,2,,,,01/12/2020,False,https://www.airbnb.fr/rooms/3278118?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,,3278118
322,5,,,3,01/12/2020,True,https://www.airbnb.fr/rooms/38472355?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,,38472355
451,6,sainte marie de re,,3,01/12/2020,False,https://www.airbnb.fr/rooms/8985490?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,,8985490
254,3,sainte marie de re,,3,01/12/2020,False,https://www.airbnb.fr/rooms/18708964?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=3933dad1-c2d7-4dc8-9afd-19593fd9a9c0,,18708964
414,5,,,4,01/12/2020,False,https://www.airbnb.fr/rooms/38771864?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,,38771864
306,3,le bois plage en re,,,01/12/2020,False,https://www.airbnb.fr/rooms/32638038?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,villa,32638038
270,2,,,,01/12/2020,False,https://www.airbnb.fr/rooms/3278118?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,,3278118
268,5,sainte marie de re,,3,01/12/2020,False,https://www.airbnb.fr/rooms/11598740?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,,11598740
254,3,sainte marie de re,,3,01/12/2020,False,https://www.airbnb.fr/rooms/18708964?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,,18708964
445,5,sainte marie de re,,3,01/12/2020,True,https://www.airbnb.fr/rooms/42172687?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,,42172687
715,5,saint martin de re,,,01/12/2020,True,https://www.airbnb.fr/rooms/18927199?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,villa,18927199
465,3,la flotte,,3,01/12/2020,False,https://www.airbnb.fr/rooms/5018017?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,villa,5018017
443,4,sainte marie de re,,4,01/12/2020,False,https://www.airbnb.fr/rooms/23621860?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,,23621860
274,3,le bois plage en re,,1,01/12/2020,True,https://www.airbnb.fr/rooms/14060596?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,,14060596
264,3,loix,,,01/12/2020,False,https://www.airbnb.fr/rooms/23892072?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,,23892072
644,6,le bois plage en re,,5,01/12/2020,False,https://www.airbnb.fr/rooms/3136842?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,villa,3136842
316,3,la couarde sur mer,,3,01/12/2020,False,https://www.airbnb.fr/rooms/11884365?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,,11884365
412,5,la couarde sur mer,,4,01/12/2020,True,https://www.airbnb.fr/rooms/7197354?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,,7197354
328,3,rivedoux plage,,3,01/12/2020,False,https://www.airbnb.fr/rooms/13812715?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,,13812715
346,4,,,,01/12/2020,True,https://www.airbnb.fr/rooms/17677293?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,,17677293
573,5,le bois plage en re,,4,01/12/2020,False,https://www.airbnb.fr/rooms/7745058?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,,7745058
340,3,le bois plage en re,,3,01/12/2020,False,https://www.airbnb.fr/rooms/16857198?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,villa,16857198
477,5,ars en re,,5,01/12/2020,False,https://www.airbnb.fr/rooms/23315373?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,villa,23315373
610,7,rivedoux plage,,6,01/12/2020,True,https://www.airbnb.fr/rooms/17001566?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=ded6c807-b70a-4d09-9fbf-c0925fd1a00c,,17001566
340,3,le bois plage en re,,3,01/12/2020,False,https://www.airbnb.fr/rooms/16857198?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=9548d89d-8a41-4dd7-9790-2ea5e1b7aa09,villa,16857198
458,5,rivedoux plage,,3,01/12/2020,False,https://www.airbnb.fr/rooms/40198678?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=9548d89d-8a41-4dd7-9790-2ea5e1b7aa09,villa,40198678
328,4,la rochelle,,3,01/12/2020,False,https://www.airbnb.fr/rooms/34712442?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=9548d89d-8a41-4dd7-9790-2ea5e1b7aa09,,34712442
542,5,la rochelle,,4,01/12/2020,False,https://www.airbnb.fr/rooms/27774687?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-12-01&check_out=2020-12-08&previous_page_section_name=1000&federated_search_id=9548d89d-8a41-4dd7-9790-2ea5e1b7aa09,villa,27774687
