pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
309,4,la flotte,,3,05/01/2021,False,https://www.airbnb.fr/rooms/plus/13664992?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2021-01-05&check_out=2021-01-12&previous_page_section_name=1000&federated_search_id=6567ab6e-ac1a-46cf-a822-051a26c201bf,,13664992
393,5,la flotte,,4,05/01/2021,True,https://www.airbnb.fr/rooms/19576465?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2021-01-05&check_out=2021-01-12&previous_page_section_name=1000&federated_search_id=6567ab6e-ac1a-46cf-a822-051a26c201bf,villa,19576465
419,5,saint martin de re,,5,05/01/2021,True,https://www.airbnb.fr/rooms/39050748?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2021-01-05&check_out=2021-01-12&previous_page_section_name=1000&federated_search_id=6567ab6e-ac1a-46cf-a822-051a26c201bf,villa,39050748
512,4,saint martin de re,,,05/01/2021,False,https://www.airbnb.fr/rooms/12749062?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2021-01-05&check_out=2021-01-12&previous_page_section_name=1000&federated_search_id=6567ab6e-ac1a-46cf-a822-051a26c201bf,villa,12749062
333,4,la flotte,,,05/01/2021,False,https://www.airbnb.fr/rooms/12734232?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2021-01-05&check_out=2021-01-12&previous_page_section_name=1000&federated_search_id=6567ab6e-ac1a-46cf-a822-051a26c201bf,,12734232
385,4,le bois plage en re,,5,05/01/2021,False,https://www.airbnb.fr/rooms/32300208?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2021-01-05&check_out=2021-01-12&previous_page_section_name=1000&federated_search_id=6567ab6e-ac1a-46cf-a822-051a26c201bf,villa,32300208
283,4,la rochelle,,5,05/01/2021,False,https://www.airbnb.fr/rooms/31254585?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2021-01-05&check_out=2021-01-12&previous_page_section_name=1000&federated_search_id=6567ab6e-ac1a-46cf-a822-051a26c201bf,villa,31254585
316,4,le bois plage en re,,3,05/01/2021,False,https://www.airbnb.fr/rooms/32852482?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2021-01-05&check_out=2021-01-12&previous_page_section_name=1000&federated_search_id=6567ab6e-ac1a-46cf-a822-051a26c201bf,villa,32852482
727,6,saint martin de re,,6,05/01/2021,True,https://www.airbnb.fr/rooms/33418725?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2021-01-05&check_out=2021-01-12&previous_page_section_name=1000&federated_search_id=6567ab6e-ac1a-46cf-a822-051a26c201bf,,33418725
630,4,la couarde sur mer,,5,05/01/2021,True,https://www.airbnb.fr/rooms/34108527?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2021-01-05&check_out=2021-01-12&previous_page_section_name=1000&federated_search_id=6567ab6e-ac1a-46cf-a822-051a26c201bf,villa,34108527
355,3,sainte marie de re,,,05/01/2021,True,https://www.airbnb.fr/rooms/17179410?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2021-01-05&check_out=2021-01-12&previous_page_section_name=1000&federated_search_id=6567ab6e-ac1a-46cf-a822-051a26c201bf,,17179410
628,5,le bois plage en re,,4,05/01/2021,False,https://www.airbnb.fr/rooms/21742914?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2021-01-05&check_out=2021-01-12&previous_page_section_name=1000&federated_search_id=6567ab6e-ac1a-46cf-a822-051a26c201bf,villa,21742914
