pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
437,3,le bois plage en re,,3,30/06/2020,False,https://www.airbnb.fr/rooms/16857198?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=eaeefb07-008a-439c-9cd3-5b42696a6dbc,villa,16857198
430,3,le bois plage en re,,,30/06/2020,False,https://www.airbnb.fr/rooms/33873734?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=eaeefb07-008a-439c-9cd3-5b42696a6dbc,,33873734
340,3,saint martin de re,,1,30/06/2020,False,https://www.airbnb.fr/rooms/22405941?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=eaeefb07-008a-439c-9cd3-5b42696a6dbc,,22405941
444,4,rivedoux plage,,,30/06/2020,False,https://www.airbnb.fr/rooms/30524192?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=eaeefb07-008a-439c-9cd3-5b42696a6dbc,villa,30524192
529,4,le bois plage en re,,5,30/06/2020,True,https://www.airbnb.fr/rooms/32300208?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=eaeefb07-008a-439c-9cd3-5b42696a6dbc,villa,32300208
610,4,la flotte,,,30/06/2020,False,https://www.airbnb.fr/rooms/12734232?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=eaeefb07-008a-439c-9cd3-5b42696a6dbc,,12734232
340,4,sainte marie de re,,,30/06/2020,False,https://www.airbnb.fr/rooms/19850715?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=eaeefb07-008a-439c-9cd3-5b42696a6dbc,villa,19850715
898,4,sainte marie de re,,5,30/06/2020,True,https://www.airbnb.fr/rooms/1211378?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=eaeefb07-008a-439c-9cd3-5b42696a6dbc,,1211378
410,4,sainte marie de re,,3,30/06/2020,False,https://www.airbnb.fr/rooms/12962979?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=eaeefb07-008a-439c-9cd3-5b42696a6dbc,villa,12962979
304,3,sainte marie de re,,1,30/06/2020,False,https://www.airbnb.fr/rooms/18204197?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=eaeefb07-008a-439c-9cd3-5b42696a6dbc,villa,18204197
472,4,,,,30/06/2020,False,https://www.airbnb.fr/rooms/20782074?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=eaeefb07-008a-439c-9cd3-5b42696a6dbc,,20782074
308,4,,,,30/06/2020,True,https://www.airbnb.fr/rooms/43318262?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=eaeefb07-008a-439c-9cd3-5b42696a6dbc,villa,43318262
508,5,rivedoux plage,,3,30/06/2020,False,https://www.airbnb.fr/rooms/40198678?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-06-30&check_out=2020-07-07&previous_page_section_name=1000&federated_search_id=eaeefb07-008a-439c-9cd3-5b42696a6dbc,villa,40198678
