pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
368,4,la flotte,,3,03/11/2020,False,https://www.airbnb.fr/rooms/plus/13664992?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=91d012ac-7e0f-4e4d-befa-eccaef1b3544,,13664992
560,6,saint martin de re,,6,03/11/2020,False,https://www.airbnb.fr/rooms/33418725?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=91d012ac-7e0f-4e4d-befa-eccaef1b3544,,33418725
496,5,saint martin de re,,5,03/11/2020,False,https://www.airbnb.fr/rooms/39050748?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=91d012ac-7e0f-4e4d-befa-eccaef1b3544,villa,39050748
340,3,le bois plage en re,,3,03/11/2020,True,https://www.airbnb.fr/rooms/16857198?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=91d012ac-7e0f-4e4d-befa-eccaef1b3544,villa,16857198
432,5,la flotte,,4,03/11/2020,True,https://www.airbnb.fr/rooms/38939476?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=91d012ac-7e0f-4e4d-befa-eccaef1b3544,villa,38939476
333,4,la flotte,,,03/11/2020,False,https://www.airbnb.fr/rooms/12734232?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=91d012ac-7e0f-4e4d-befa-eccaef1b3544,,12734232
488,4,saint martin de re,,,03/11/2020,True,https://www.airbnb.fr/rooms/12749062?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=91d012ac-7e0f-4e4d-befa-eccaef1b3544,villa,12749062
467,4,sainte marie de re,,5,03/11/2020,False,https://www.airbnb.fr/rooms/1211378?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=91d012ac-7e0f-4e4d-befa-eccaef1b3544,,1211378
385,4,le bois plage en re,,5,03/11/2020,True,https://www.airbnb.fr/rooms/32300208?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=91d012ac-7e0f-4e4d-befa-eccaef1b3544,villa,32300208
658,5,le bois plage en re,,4,03/11/2020,False,https://www.airbnb.fr/rooms/21742914?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-11-03&check_out=2020-11-10&previous_page_section_name=1000&federated_search_id=91d012ac-7e0f-4e4d-befa-eccaef1b3544,villa,21742914
