pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
368,4,,,3,06/10/2020,False,https://www.airbnb.fr/rooms/plus/13664992?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,,13664992
255,4,,,,06/10/2020,False,https://www.airbnb.fr/rooms/plus/25288920?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,,25288920
560,6,saint martin de re,,6,06/10/2020,False,https://www.airbnb.fr/rooms/33418725?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,,33418725
419,5,saint martin de re,,5,06/10/2020,False,https://www.airbnb.fr/rooms/39050748?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,villa,39050748
323,4,la flotte,,,06/10/2020,False,https://www.airbnb.fr/rooms/12734232?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,,12734232
436,4,lagord,,3,06/10/2020,False,https://www.airbnb.fr/rooms/36233481?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,,36233481
432,5,la flotte,,4,06/10/2020,False,https://www.airbnb.fr/rooms/38939476?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,villa,38939476
340,4,la flotte,,3,06/10/2020,False,https://www.airbnb.fr/rooms/36855003?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,villa,36855003
632,5,le bois plage en re,,4,06/10/2020,False,https://www.airbnb.fr/rooms/21742914?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,villa,21742914
385,4,le bois plage en re,,5,06/10/2020,False,https://www.airbnb.fr/rooms/32300208?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,villa,32300208
293,3,le bois plage en re,,5,06/10/2020,True,https://www.airbnb.fr/rooms/23353670?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,villa,23353670
467,4,sainte marie de re,,5,06/10/2020,True,https://www.airbnb.fr/rooms/1211378?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,,1211378
621,4,sainte marie de re,,5,06/10/2020,False,https://www.airbnb.fr/rooms/32785452?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,villa,32785452
533,4,saint martin de re,,4,06/10/2020,True,https://www.airbnb.fr/rooms/34822614?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,villa,34822614
265,4,saint martin de re,,3,06/10/2020,True,https://www.airbnb.fr/rooms/42292241?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,villa,42292241
376,5,saint martin de re,,,06/10/2020,False,https://www.airbnb.fr/rooms/18927199?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,villa,18927199
277,3,la flotte,,3,06/10/2020,False,https://www.airbnb.fr/rooms/21344501?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,villa,21344501
268,5,le bois plage en re,,5,06/10/2020,False,https://www.airbnb.fr/rooms/36853426?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,villa,36853426
722,4,saint martin de re,,,06/10/2020,True,https://www.airbnb.fr/rooms/12749062?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,villa,12749062
414,5,,,4,06/10/2020,True,https://www.airbnb.fr/rooms/38771864?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=0d68629a-5527-4140-b4c2-1de8708b61fb,,38771864
268,5,le bois plage en re,,5,06/10/2020,True,https://www.airbnb.fr/rooms/36853426?location=Saint-Martin-de-R%C3%A9%2C%20France&adults=6&check_in=2020-10-06&check_out=2020-10-13&previous_page_section_name=1000&federated_search_id=9eaf3925-fd39-428a-88e9-791cbc890838,villa,36853426
