pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
222,2,doudeville,,3,02/04/2021,False,https://www.airbnb.fr/rooms/15949382?location=Yvetot&checkout=&check_in=2021-04-02&previous_page_section_name=1000&federated_search_id=8bedb2a9-131c-458e-920f-c04567a98df0,,15949382
332,4,,,4,02/04/2021,False,https://www.airbnb.fr/rooms/39354346?location=Yvetot&checkout=&check_in=2021-04-02&previous_page_section_name=1000&federated_search_id=8bedb2a9-131c-458e-920f-c04567a98df0,,39354346
374,4,,,,02/04/2021,False,https://www.airbnb.fr/rooms/38375361?location=Yvetot&checkout=&check_in=2021-04-02&previous_page_section_name=1000&federated_search_id=8bedb2a9-131c-458e-920f-c04567a98df0,,38375361
269,2,,,1,02/04/2021,False,https://www.airbnb.fr/rooms/22236038?location=Yvetot&checkout=&check_in=2021-04-02&previous_page_section_name=1000&federated_search_id=8bedb2a9-131c-458e-920f-c04567a98df0,,22236038
271,5,,,,02/04/2021,False,https://www.airbnb.fr/rooms/39064355?location=Yvetot&checkout=&check_in=2021-04-02&previous_page_section_name=1000&federated_search_id=8bedb2a9-131c-458e-920f-c04567a98df0,,39064355
325,3,,,1,02/04/2021,False,https://www.airbnb.fr/rooms/42940399?location=Yvetot&checkout=&check_in=2021-04-02&previous_page_section_name=1000&federated_search_id=8bedb2a9-131c-458e-920f-c04567a98df0,,42940399
512,3,,,,02/04/2021,False,https://www.airbnb.fr/rooms/42290936?location=Yvetot&checkout=&check_in=2021-04-02&previous_page_section_name=1000&federated_search_id=8bedb2a9-131c-458e-920f-c04567a98df0,,42290936
"1,142",3,bolleville,,3,02/04/2021,False,https://www.airbnb.fr/rooms/43012587?location=Yvetot&checkout=&check_in=2021-04-02&previous_page_section_name=1000&federated_search_id=8bedb2a9-131c-458e-920f-c04567a98df0,,43012587
336,3,,,1,02/04/2021,False,https://www.airbnb.fr/rooms/35220055?location=Yvetot&checkout=&check_in=2021-04-02&previous_page_section_name=1000&federated_search_id=8bedb2a9-131c-458e-920f-c04567a98df0,,35220055
217,4,,,,02/04/2021,False,https://www.airbnb.fr/rooms/14175787?location=Yvetot&checkout=&check_in=2021-04-02&previous_page_section_name=1000&federated_search_id=8bedb2a9-131c-458e-920f-c04567a98df0,,14175787
210,3,,,,02/04/2021,False,https://www.airbnb.fr/rooms/39326678?location=Yvetot&checkout=&check_in=2021-04-02&previous_page_section_name=1000&federated_search_id=8bedb2a9-131c-458e-920f-c04567a98df0,,39326678
679,8,,,4,02/04/2021,False,https://www.airbnb.fr/rooms/10048889?location=Yvetot&checkout=&check_in=2021-04-02&previous_page_section_name=1000&federated_search_id=8bedb2a9-131c-458e-920f-c04567a98df0,,10048889
217,2,,,,02/04/2021,False,https://www.airbnb.fr/rooms/43360172?location=Yvetot&checkout=&check_in=2021-04-02&previous_page_section_name=1000&federated_search_id=8bedb2a9-131c-458e-920f-c04567a98df0,,43360172
282,9,,,3,02/04/2021,False,https://www.airbnb.fr/rooms/6510796?location=Yvetot&checkout=&check_in=2021-04-02&previous_page_section_name=1000&federated_search_id=8bedb2a9-131c-458e-920f-c04567a98df0,,6510796
