pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
679,2,,,5,01/12/2020,False,https://www.airbnb.fr/rooms/10334281?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,10334281
374,4,,,,01/12/2020,False,https://www.airbnb.fr/rooms/38375361?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,38375361
318,4,,,4,01/12/2020,False,https://www.airbnb.fr/rooms/39354346?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,39354346
271,5,,,,01/12/2020,False,https://www.airbnb.fr/rooms/39064355?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,39064355
360,3,,,1,01/12/2020,False,https://www.airbnb.fr/rooms/42940399?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,42940399
283,2,,,,01/12/2020,False,https://www.airbnb.fr/rooms/43355587?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,43355587
259,4,,,1,01/12/2020,False,https://www.airbnb.fr/rooms/25288746?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,25288746
512,3,,,,01/12/2020,False,https://www.airbnb.fr/rooms/42290936?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,42290936
"1,142",3,bolleville,,3,01/12/2020,False,https://www.airbnb.fr/rooms/43012587?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,43012587
205,,,,1,01/12/2020,False,https://www.airbnb.fr/rooms/15768188?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,15768188
341,4,,,,01/12/2020,False,https://www.airbnb.fr/rooms/8175240?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,8175240
282,9,,,3,01/12/2020,False,https://www.airbnb.fr/rooms/6510796?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,6510796
329,3,,,1,01/12/2020,False,https://www.airbnb.fr/rooms/32775117?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,32775117
220,,,,,01/12/2020,False,https://www.airbnb.fr/rooms/32660966?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,32660966
291,,,,1,01/12/2020,False,https://www.airbnb.fr/rooms/38373220?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,38373220
216,2,,,,01/12/2020,False,https://www.airbnb.fr/rooms/43360172?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,43360172
528,4,,,,01/12/2020,False,https://www.airbnb.fr/rooms/33514415?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,33514415
540,4,berville,,,01/12/2020,False,https://www.airbnb.fr/rooms/21919981?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,21919981
411,3,,,,01/12/2020,False,https://www.airbnb.fr/rooms/40088726?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,40088726
241,2,berville,,1,01/12/2020,False,https://www.airbnb.fr/rooms/42990048?location=Yvetot&checkout=&check_in=2020-12-01&previous_page_section_name=1000&federated_search_id=0c27e1d1-2d1e-4726-afbf-4cd4e3d7c28f,,42990048
205,,,,1,01/12/2020,False,https://www.airbnb.fr/rooms/16566135?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,16566135
184,2,,,1,01/12/2020,False,https://www.airbnb.fr/rooms/18744711?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,18744711
679,8,,,4,01/12/2020,False,https://www.airbnb.fr/rooms/10048889?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,10048889
291,,,,1,01/12/2020,False,https://www.airbnb.fr/rooms/38373220?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,38373220
817,3,,,,01/12/2020,False,https://www.airbnb.fr/rooms/31946866?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,31946866
591,,,,,01/12/2020,False,https://www.airbnb.fr/rooms/21608228?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,21608228
679,2,,,5,01/12/2020,False,https://www.airbnb.fr/rooms/25696755?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,25696755
"3,798",4,,,3,01/12/2020,False,https://www.airbnb.fr/rooms/43015104?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,43015104
259,2,,,1,01/12/2020,False,https://www.airbnb.fr/rooms/34244863?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,34244863
632,3,,,,01/12/2020,False,https://www.airbnb.fr/rooms/34266777?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,34266777
680,4,,,7,01/12/2020,False,https://www.airbnb.fr/rooms/39545902?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,39545902
377,,,,1,01/12/2020,False,https://www.airbnb.fr/rooms/2219530?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,2219530
259,,,,1,01/12/2020,False,https://www.airbnb.fr/rooms/32653212?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,32653212
234,,fauville en caux,,1,01/12/2020,False,https://www.airbnb.fr/rooms/12883660?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,12883660
282,2,,,,01/12/2020,False,https://www.airbnb.fr/rooms/8787838?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,appartement,8787838
499,3,,,,01/12/2020,False,https://www.airbnb.fr/rooms/32692749?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,32692749
294,2,,,1,01/12/2020,False,https://www.airbnb.fr/rooms/32757838?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,appartement,32757838
234,,,,1,01/12/2020,False,https://www.airbnb.fr/rooms/34847639?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,34847639
247,3,,,1,01/12/2020,False,https://www.airbnb.fr/rooms/36517899?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,36517899
294,,,,,01/12/2020,False,https://www.airbnb.fr/rooms/35336190?location=Yvetot&check_in=2020-12-01&check_out=2020-12-02&previous_page_section_name=1000&federated_search_id=069833f0-3e38-4661-a76b-c6488dc64357,,35336190
