pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
222,2,doudeville,,3,05/02/2021,False,https://www.airbnb.fr/rooms/15949382?location=Yvetot&checkout=&check_in=2021-02-05&previous_page_section_name=1000&federated_search_id=78c08e1e-0158-4e08-a25d-54d99605801c,,15949382
679,2,,,5,05/02/2021,False,https://www.airbnb.fr/rooms/10334281?location=Yvetot&checkout=&check_in=2021-02-05&previous_page_section_name=1000&federated_search_id=78c08e1e-0158-4e08-a25d-54d99605801c,,10334281
374,4,,,,05/02/2021,True,https://www.airbnb.fr/rooms/38375361?location=Yvetot&checkout=&check_in=2021-02-05&previous_page_section_name=1000&federated_search_id=78c08e1e-0158-4e08-a25d-54d99605801c,,38375361
318,4,,,4,05/02/2021,False,https://www.airbnb.fr/rooms/39354346?location=Yvetot&checkout=&check_in=2021-02-05&previous_page_section_name=1000&federated_search_id=78c08e1e-0158-4e08-a25d-54d99605801c,,39354346
269,2,,,1,05/02/2021,True,https://www.airbnb.fr/rooms/22236038?location=Yvetot&checkout=&check_in=2021-02-05&previous_page_section_name=1000&federated_search_id=78c08e1e-0158-4e08-a25d-54d99605801c,,22236038
271,5,,,,05/02/2021,False,https://www.airbnb.fr/rooms/39064355?location=Yvetot&checkout=&check_in=2021-02-05&previous_page_section_name=1000&federated_search_id=78c08e1e-0158-4e08-a25d-54d99605801c,,39064355
325,3,,,1,05/02/2021,False,https://www.airbnb.fr/rooms/42940399?location=Yvetot&checkout=&check_in=2021-02-05&previous_page_section_name=1000&federated_search_id=78c08e1e-0158-4e08-a25d-54d99605801c,,42940399
512,3,,,,05/02/2021,False,https://www.airbnb.fr/rooms/42290936?location=Yvetot&checkout=&check_in=2021-02-05&previous_page_section_name=1000&federated_search_id=78c08e1e-0158-4e08-a25d-54d99605801c,,42290936
"1,142",3,bolleville,,3,05/02/2021,False,https://www.airbnb.fr/rooms/43012587?location=Yvetot&checkout=&check_in=2021-02-05&previous_page_section_name=1000&federated_search_id=78c08e1e-0158-4e08-a25d-54d99605801c,,43012587
336,3,,,1,05/02/2021,False,https://www.airbnb.fr/rooms/35220055?location=Yvetot&checkout=&check_in=2021-02-05&previous_page_section_name=1000&federated_search_id=78c08e1e-0158-4e08-a25d-54d99605801c,,35220055
