pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
222,2,doudeville,,3,08/01/2021,False,https://www.airbnb.fr/rooms/15949382?location=Yvetot&checkout=&check_in=2021-01-08&previous_page_section_name=1000&federated_search_id=d7eaa7b8-042e-46b3-aac0-5f6e77d00068,,15949382
374,4,,,,08/01/2021,True,https://www.airbnb.fr/rooms/38375361?location=Yvetot&checkout=&check_in=2021-01-08&previous_page_section_name=1000&federated_search_id=d7eaa7b8-042e-46b3-aac0-5f6e77d00068,,38375361
679,2,,,5,08/01/2021,False,https://www.airbnb.fr/rooms/10334281?location=Yvetot&checkout=&check_in=2021-01-08&previous_page_section_name=1000&federated_search_id=d7eaa7b8-042e-46b3-aac0-5f6e77d00068,,10334281
318,4,,,4,08/01/2021,False,https://www.airbnb.fr/rooms/39354346?location=Yvetot&checkout=&check_in=2021-01-08&previous_page_section_name=1000&federated_search_id=d7eaa7b8-042e-46b3-aac0-5f6e77d00068,,39354346
269,2,,,1,08/01/2021,True,https://www.airbnb.fr/rooms/22236038?location=Yvetot&checkout=&check_in=2021-01-08&previous_page_section_name=1000&federated_search_id=d7eaa7b8-042e-46b3-aac0-5f6e77d00068,,22236038
271,5,,,,08/01/2021,False,https://www.airbnb.fr/rooms/39064355?location=Yvetot&checkout=&check_in=2021-01-08&previous_page_section_name=1000&federated_search_id=d7eaa7b8-042e-46b3-aac0-5f6e77d00068,,39064355
360,3,,,1,08/01/2021,False,https://www.airbnb.fr/rooms/42940399?location=Yvetot&checkout=&check_in=2021-01-08&previous_page_section_name=1000&federated_search_id=d7eaa7b8-042e-46b3-aac0-5f6e77d00068,,42940399
512,3,,,,08/01/2021,False,https://www.airbnb.fr/rooms/42290936?location=Yvetot&checkout=&check_in=2021-01-08&previous_page_section_name=1000&federated_search_id=d7eaa7b8-042e-46b3-aac0-5f6e77d00068,,42290936
"1,405",7,,,,08/01/2021,False,https://www.airbnb.fr/rooms/31814889?location=Yvetot&checkout=&check_in=2021-01-08&previous_page_section_name=1000&federated_search_id=d7eaa7b8-042e-46b3-aac0-5f6e77d00068,,31814889
282,9,,,3,08/01/2021,False,https://www.airbnb.fr/rooms/6510796?location=Yvetot&checkout=&check_in=2021-01-08&previous_page_section_name=1000&federated_search_id=d7eaa7b8-042e-46b3-aac0-5f6e77d00068,,6510796
283,2,,,,08/01/2021,False,https://www.airbnb.fr/rooms/43355587?location=Yvetot&checkout=&check_in=2021-01-08&previous_page_section_name=1000&federated_search_id=d7eaa7b8-042e-46b3-aac0-5f6e77d00068,,43355587
"1,142",3,bolleville,,3,08/01/2021,False,https://www.airbnb.fr/rooms/43012587?location=Yvetot&checkout=&check_in=2021-01-08&previous_page_section_name=1000&federated_search_id=d7eaa7b8-042e-46b3-aac0-5f6e77d00068,,43012587
277,3,,,1,08/01/2021,False,https://www.airbnb.fr/rooms/35220055?location=Yvetot&checkout=&check_in=2021-01-08&previous_page_section_name=1000&federated_search_id=d7eaa7b8-042e-46b3-aac0-5f6e77d00068,,35220055
217,2,,,,08/01/2021,False,https://www.airbnb.fr/rooms/43360172?location=Yvetot&checkout=&check_in=2021-01-08&previous_page_section_name=1000&federated_search_id=d7eaa7b8-042e-46b3-aac0-5f6e77d00068,,43360172
540,4,berville,,,08/01/2021,False,https://www.airbnb.fr/rooms/21919981?location=Yvetot&checkout=&check_in=2021-01-08&previous_page_section_name=1000&federated_search_id=d7eaa7b8-042e-46b3-aac0-5f6e77d00068,,21919981
551,4,,,1,08/01/2021,False,https://www.airbnb.fr/rooms/21993907?location=Yvetot&checkout=&check_in=2021-01-08&previous_page_section_name=1000&federated_search_id=d7eaa7b8-042e-46b3-aac0-5f6e77d00068,,21993907
