pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
491,4,,,,30/06/2020,True,https://www.airbnb.fr/rooms/38375361?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,38375361
679,2,,,5,30/06/2020,False,https://www.airbnb.fr/rooms/10334281?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,10334281
282,9,,,3,30/06/2020,False,https://www.airbnb.fr/rooms/6510796?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,6510796
341,4,,,,30/06/2020,False,https://www.airbnb.fr/rooms/8175240?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,8175240
271,5,,,,30/06/2020,False,https://www.airbnb.fr/rooms/39064355?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,39064355
283,2,,,,30/06/2020,False,https://www.airbnb.fr/rooms/43355587?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,43355587
136,3,,,,30/06/2020,False,https://www.airbnb.fr/rooms/42290936?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,42290936
216,2,,,1,30/06/2020,True,https://www.airbnb.fr/rooms/22236038?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,22236038
205,,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/15768188?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,15768188
"1,405",7,,,,30/06/2020,False,https://www.airbnb.fr/rooms/31814889?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,31814889
632,3,,,,30/06/2020,False,https://www.airbnb.fr/rooms/34266777?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,34266777
"1,458",3,bolleville,,3,30/06/2020,False,https://www.airbnb.fr/rooms/43012587?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,43012587
294,3,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/32775117?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,32775117
291,,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/38373220?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,38373220
234,,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/34847639?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,34847639
206,2,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/24882108?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,24882108
311,,rocquefort,,4,30/06/2020,False,https://www.airbnb.fr/rooms/36801414?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,36801414
673,4,berville,,,30/06/2020,False,https://www.airbnb.fr/rooms/21919981?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,21919981
205,,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/16566135?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,16566135
241,2,berville,,1,30/06/2020,False,https://www.airbnb.fr/rooms/42990048?location=Yvetot&checkout=&check_in=2020-06-30&previous_page_section_name=1000&federated_search_id=460dc8eb-9938-4319-a8f9-bedbf095f38a,,42990048
294,2,,,1,30/06/2020,True,https://www.airbnb.fr/rooms/39051239?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,villa,39051239
679,8,,,4,30/06/2020,False,https://www.airbnb.fr/rooms/10048889?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,,10048889
366,2,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/18744711?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,,18744711
248,3,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/34387873?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,,34387873
234,,fauville en caux,,1,30/06/2020,False,https://www.airbnb.fr/rooms/12883660?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,,12883660
282,2,,,,30/06/2020,False,https://www.airbnb.fr/rooms/8787838?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,appartement,8787838
233,,,,,30/06/2020,False,https://www.airbnb.fr/rooms/19706510?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,,19706510
269,2,limesy,,1,30/06/2020,False,https://www.airbnb.fr/rooms/32704871?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,appartement,32704871
591,,,,,30/06/2020,False,https://www.airbnb.fr/rooms/21608228?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,,21608228
679,2,,,5,30/06/2020,False,https://www.airbnb.fr/rooms/25696755?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,,25696755
259,,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/32653212?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,,32653212
294,,,,,30/06/2020,False,https://www.airbnb.fr/rooms/35336190?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,,35336190
680,4,,,7,30/06/2020,False,https://www.airbnb.fr/rooms/39545902?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,,39545902
247,3,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/36517899?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,,36517899
257,,fauville en caux,,,30/06/2020,False,https://www.airbnb.fr/rooms/12888381?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,,12888381
"3,165",4,,,3,30/06/2020,False,https://www.airbnb.fr/rooms/43015104?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,,43015104
233,,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/26762118?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,,26762118
409,,fauville en caux,,1,30/06/2020,False,https://www.airbnb.fr/rooms/12887830?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,,12887830
230,,,,1,30/06/2020,False,https://www.airbnb.fr/rooms/24465644?location=Yvetot&check_in=2020-06-30&check_out=2020-07-01&previous_page_section_name=1000&federated_search_id=ec4dda83-8a45-4fde-b6e3-2695811a52a2,,24465644
