pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
222,2,doudeville,,3,05/03/2021,False,https://www.airbnb.fr/rooms/15949382?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,15949382
679,2,,,5,05/03/2021,False,https://www.airbnb.fr/rooms/10334281?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,10334281
374,4,,,,05/03/2021,True,https://www.airbnb.fr/rooms/38375361?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,38375361
318,4,,,4,05/03/2021,False,https://www.airbnb.fr/rooms/39354346?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,39354346
269,2,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/22236038?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,22236038
271,5,,,,05/03/2021,False,https://www.airbnb.fr/rooms/39064355?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,39064355
325,3,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/42940399?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,42940399
512,3,,,,05/03/2021,False,https://www.airbnb.fr/rooms/42290936?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,42290936
"1,142",3,bolleville,,3,05/03/2021,False,https://www.airbnb.fr/rooms/43012587?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,43012587
336,3,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/35220055?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,35220055
217,2,,,,05/03/2021,False,https://www.airbnb.fr/rooms/43360172?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,43360172
540,4,berville,,,05/03/2021,False,https://www.airbnb.fr/rooms/21919981?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,21919981
551,3,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/21993139?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,21993139
283,2,,,,05/03/2021,False,https://www.airbnb.fr/rooms/43355587?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,43355587
282,9,,,3,05/03/2021,False,https://www.airbnb.fr/rooms/6510796?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,6510796
551,4,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/21993907?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,21993907
222,,,,1,05/03/2021,True,https://www.airbnb.fr/rooms/22235823?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,22235823
241,2,berville,,1,05/03/2021,False,https://www.airbnb.fr/rooms/42990048?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,42990048
291,,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/38373220?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,38373220
528,4,,,,05/03/2021,False,https://www.airbnb.fr/rooms/33514415?location=Yvetot&checkout=&check_in=2021-03-05&previous_page_section_name=1000&federated_search_id=f092e2df-e698-448f-b517-86919b8fdab9,,33514415
291,,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/38373220?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,38373220
528,4,,,,05/03/2021,False,https://www.airbnb.fr/rooms/33514415?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,33514415
405,4,,,,05/03/2021,False,https://www.airbnb.fr/rooms/17008931?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,17008931
"2,439",2,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/34037466?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,appartement,34037466
378,3,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/8491200?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,8491200
222,,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/22235823?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,22235823
"3,798",4,,,3,05/03/2021,False,https://www.airbnb.fr/rooms/43015104?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,43015104
206,2,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/24882108?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,24882108
447,2,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/18744711?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,18744711
434,3,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/22234660?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,22234660
222,,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/22235071?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,22235071
222,,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/22234867?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,22234867
304,,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/24910077?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,appartement,24910077
680,4,,,7,05/03/2021,False,https://www.airbnb.fr/rooms/39545902?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,39545902
380,,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/2219530?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,2219530
499,3,,,,05/03/2021,False,https://www.airbnb.fr/rooms/32692749?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,32692749
679,2,,,5,05/03/2021,False,https://www.airbnb.fr/rooms/25696755?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,25696755
491,,fauville en caux,,,05/03/2021,False,https://www.airbnb.fr/rooms/12888381?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,12888381
234,,fauville en caux,,1,05/03/2021,False,https://www.airbnb.fr/rooms/12883660?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,12883660
247,3,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/36517899?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=f434c579-8cf0-461e-9399-33707f892e3a,,36517899
236,2,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/32757838?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=81f4d8e7-1e2b-4098-b826-0aa682e8f417,appartement,32757838
282,2,,,,05/03/2021,False,https://www.airbnb.fr/rooms/8787838?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=81f4d8e7-1e2b-4098-b826-0aa682e8f417,appartement,8787838
93,,,,1,05/03/2021,False,https://www.airbnb.fr/rooms/28485021?location=Yvetot&check_in=2021-03-05&check_out=2021-03-06&previous_page_section_name=1000&federated_search_id=81f4d8e7-1e2b-4098-b826-0aa682e8f417,,28485021
