pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
222,2,,,3,07/05/2021,False,https://www.airbnb.fr/rooms/15949382?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,15949382
679,2,,,5,07/05/2021,False,https://www.airbnb.fr/rooms/10334281?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,10334281
332,4,,,4,07/05/2021,False,https://www.airbnb.fr/rooms/39354346?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,39354346
269,2,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/22236038?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,22236038
271,5,,,,07/05/2021,False,https://www.airbnb.fr/rooms/39064355?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,39064355
360,3,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/42940399?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,42940399
512,3,,,,07/05/2021,False,https://www.airbnb.fr/rooms/42290936?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,42290936
"1,142",3,,,3,07/05/2021,False,https://www.airbnb.fr/rooms/43012587?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,43012587
291,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/38373220?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,38373220
217,4,,,,07/05/2021,False,https://www.airbnb.fr/rooms/14175787?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,14175787
217,2,,,,07/05/2021,False,https://www.airbnb.fr/rooms/43360172?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,43360172
673,4,,,,07/05/2021,False,https://www.airbnb.fr/rooms/21919981?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,21919981
551,3,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/21993139?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,21993139
551,4,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/21993907?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,21993907
282,9,,,3,07/05/2021,False,https://www.airbnb.fr/rooms/6510796?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,6510796
222,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/22235823?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,22235823
"3,165",4,,,3,07/05/2021,False,https://www.airbnb.fr/rooms/43015104?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,43015104
241,2,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/42990048?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,42990048
283,2,,,,07/05/2021,False,https://www.airbnb.fr/rooms/43355587?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,43355587
"2,458",2,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/34037466?location=Yvetot&checkout=&check_in=2021-05-07&previous_page_section_name=1000&federated_search_id=5d43fddc-6eff-462e-8b0c-0506f3641473,,34037466
679,8,,,4,07/05/2021,False,https://www.airbnb.fr/rooms/10048889?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,10048889
380,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/2219530?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,2219530
206,2,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/24882108?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,24882108
447,2,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/18744711?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,18744711
434,3,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/22234660?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,22234660
378,3,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/8491200?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,8491200
222,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/22235071?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,22235071
265,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/795140?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,795140
222,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/22234867?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,22234867
304,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/24910077?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,24910077
984,2,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/34017967?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,34017967
493,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/33835756?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,33835756
493,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/34010996?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,34010996
499,3,,,,07/05/2021,False,https://www.airbnb.fr/rooms/32692749?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,32692749
679,2,,,5,07/05/2021,False,https://www.airbnb.fr/rooms/25696755?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,25696755
491,,,,,07/05/2021,False,https://www.airbnb.fr/rooms/12888381?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,12888381
233,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/26762118?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,26762118
247,3,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/36517899?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,36517899
230,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/41604058?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,41604058
236,2,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/32757838?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=17863d8a-b315-4a7c-a937-a2fe1da53f5e,,32757838
236,2,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/32757838?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=0c671fb4-c47b-48ff-ad2c-0495fb1a8e50,,32757838
230,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/24465644?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=0c671fb4-c47b-48ff-ad2c-0495fb1a8e50,,24465644
324,2,,,,07/05/2021,False,https://www.airbnb.fr/rooms/33521079?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=0c671fb4-c47b-48ff-ad2c-0495fb1a8e50,,33521079
233,,,,,07/05/2021,False,https://www.airbnb.fr/rooms/19706510?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=0c671fb4-c47b-48ff-ad2c-0495fb1a8e50,,19706510
224,3,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/35211052?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=0c671fb4-c47b-48ff-ad2c-0495fb1a8e50,,35211052
233,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/26762118?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=0c671fb4-c47b-48ff-ad2c-0495fb1a8e50,,26762118
93,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/28485021?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=0c671fb4-c47b-48ff-ad2c-0495fb1a8e50,,28485021
"1,195",,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/35005040?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=0c671fb4-c47b-48ff-ad2c-0495fb1a8e50,,35005040
409,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/12887830?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=0c671fb4-c47b-48ff-ad2c-0495fb1a8e50,,12887830
207,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/791901?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=0c671fb4-c47b-48ff-ad2c-0495fb1a8e50,,791901
207,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/791903?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=0c671fb4-c47b-48ff-ad2c-0495fb1a8e50,,791903
225,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/24899178?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=0c671fb4-c47b-48ff-ad2c-0495fb1a8e50,,24899178
329,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/35208671?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=0c671fb4-c47b-48ff-ad2c-0495fb1a8e50,,35208671
528,4,,,,07/05/2021,False,https://www.airbnb.fr/rooms/33514415?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=0c671fb4-c47b-48ff-ad2c-0495fb1a8e50,,33514415
209,,,,1,07/05/2021,False,https://www.airbnb.fr/rooms/34901150?location=Yvetot&check_in=2021-05-07&check_out=2021-05-08&previous_page_section_name=1000&federated_search_id=0c671fb4-c47b-48ff-ad2c-0495fb1a8e50,,34901150
