pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
679,2,,,5,03/11/2020,False,https://www.airbnb.fr/rooms/10334281?location=Yvetot&checkout=&check_in=2020-11-03&previous_page_section_name=1000&federated_search_id=538394f0-7731-4eff-b250-4df1b75aa734,,10334281
318,4,,,4,03/11/2020,False,https://www.airbnb.fr/rooms/39354346?location=Yvetot&checkout=&check_in=2020-11-03&previous_page_section_name=1000&federated_search_id=538394f0-7731-4eff-b250-4df1b75aa734,,39354346
271,5,,,,03/11/2020,False,https://www.airbnb.fr/rooms/39064355?location=Yvetot&checkout=&check_in=2020-11-03&previous_page_section_name=1000&federated_search_id=538394f0-7731-4eff-b250-4df1b75aa734,,39064355
283,2,,,,03/11/2020,False,https://www.airbnb.fr/rooms/43355587?location=Yvetot&checkout=&check_in=2020-11-03&previous_page_section_name=1000&federated_search_id=538394f0-7731-4eff-b250-4df1b75aa734,,43355587
360,3,,,1,03/11/2020,False,https://www.airbnb.fr/rooms/42940399?location=Yvetot&checkout=&check_in=2020-11-03&previous_page_section_name=1000&federated_search_id=538394f0-7731-4eff-b250-4df1b75aa734,,42940399
341,4,,,,03/11/2020,False,https://www.airbnb.fr/rooms/8175240?location=Yvetot&checkout=&check_in=2020-11-03&previous_page_section_name=1000&federated_search_id=538394f0-7731-4eff-b250-4df1b75aa734,,8175240
259,4,,,1,03/11/2020,False,https://www.airbnb.fr/rooms/25288746?location=Yvetot&checkout=&check_in=2020-11-03&previous_page_section_name=1000&federated_search_id=538394f0-7731-4eff-b250-4df1b75aa734,,25288746
512,3,,,,03/11/2020,False,https://www.airbnb.fr/rooms/42290936?location=Yvetot&checkout=&check_in=2020-11-03&previous_page_section_name=1000&federated_search_id=538394f0-7731-4eff-b250-4df1b75aa734,,42290936
282,9,,,3,03/11/2020,False,https://www.airbnb.fr/rooms/6510796?location=Yvetot&checkout=&check_in=2020-11-03&previous_page_section_name=1000&federated_search_id=538394f0-7731-4eff-b250-4df1b75aa734,,6510796
"1,142",3,bolleville,,3,03/11/2020,False,https://www.airbnb.fr/rooms/43012587?location=Yvetot&checkout=&check_in=2020-11-03&previous_page_section_name=1000&federated_search_id=538394f0-7731-4eff-b250-4df1b75aa734,,43012587
205,,,,1,03/11/2020,False,https://www.airbnb.fr/rooms/15768188?location=Yvetot&checkout=&check_in=2020-11-03&previous_page_section_name=1000&federated_search_id=538394f0-7731-4eff-b250-4df1b75aa734,,15768188
632,3,,,,03/11/2020,False,https://www.airbnb.fr/rooms/34266777?location=Yvetot&checkout=&check_in=2020-11-03&previous_page_section_name=1000&federated_search_id=538394f0-7731-4eff-b250-4df1b75aa734,,34266777
328,3,,,1,03/11/2020,False,https://www.airbnb.fr/rooms/32775117?location=Yvetot&checkout=&check_in=2020-11-03&previous_page_section_name=1000&federated_search_id=538394f0-7731-4eff-b250-4df1b75aa734,,32775117
220,,,,,03/11/2020,False,https://www.airbnb.fr/rooms/32660966?location=Yvetot&checkout=&check_in=2020-11-03&previous_page_section_name=1000&federated_search_id=538394f0-7731-4eff-b250-4df1b75aa734,,32660966
291,,,,1,03/11/2020,False,https://www.airbnb.fr/rooms/38373220?location=Yvetot&checkout=&check_in=2020-11-03&previous_page_section_name=1000&federated_search_id=538394f0-7731-4eff-b250-4df1b75aa734,,38373220
