pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
374,4,,,,06/10/2020,False,https://www.airbnb.fr/rooms/38375361?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,38375361
679,2,,,5,06/10/2020,False,https://www.airbnb.fr/rooms/10334281?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,10334281
318,4,,,4,06/10/2020,False,https://www.airbnb.fr/rooms/39354346?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,39354346
271,5,,,,06/10/2020,False,https://www.airbnb.fr/rooms/39064355?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,39064355
283,2,,,,06/10/2020,False,https://www.airbnb.fr/rooms/43355587?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,43355587
360,3,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/42940399?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,42940399
512,3,,,,06/10/2020,False,https://www.airbnb.fr/rooms/42290936?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,42290936
282,9,,,3,06/10/2020,False,https://www.airbnb.fr/rooms/6510796?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,6510796
"1,142",3,bolleville,,3,06/10/2020,False,https://www.airbnb.fr/rooms/43012587?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,43012587
205,,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/15768188?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,15768188
341,4,,,,06/10/2020,False,https://www.airbnb.fr/rooms/8175240?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,8175240
259,4,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/25288746?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,25288746
632,3,,,,06/10/2020,False,https://www.airbnb.fr/rooms/34266777?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,34266777
220,,,,,06/10/2020,False,https://www.airbnb.fr/rooms/32660966?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,32660966
294,3,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/32775117?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,32775117
216,2,,,,06/10/2020,False,https://www.airbnb.fr/rooms/43360172?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,43360172
528,4,,,,06/10/2020,False,https://www.airbnb.fr/rooms/33514415?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,33514415
540,4,berville,,,06/10/2020,False,https://www.airbnb.fr/rooms/21919981?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,21919981
206,2,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/24882108?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,24882108
241,2,berville,,1,06/10/2020,False,https://www.airbnb.fr/rooms/42990048?location=Yvetot&checkout=&check_in=2020-10-06&previous_page_section_name=1000&federated_search_id=833c4310-f410-4b47-8933-c820952529d0,,42990048
205,,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/16566135?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,16566135
365,5,,,,06/10/2020,False,https://www.airbnb.fr/rooms/33130845?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,33130845
184,2,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/18744711?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,18744711
679,8,,,4,06/10/2020,False,https://www.airbnb.fr/rooms/10048889?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,10048889
291,,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/38373220?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,38373220
"1,405",7,,,,06/10/2020,False,https://www.airbnb.fr/rooms/31814889?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,31814889
234,,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/34847639?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,34847639
679,2,,,5,06/10/2020,False,https://www.airbnb.fr/rooms/25696755?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,25696755
221,3,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/35220055?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,35220055
817,3,,,,06/10/2020,False,https://www.airbnb.fr/rooms/31946866?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,31946866
591,,,,,06/10/2020,False,https://www.airbnb.fr/rooms/21608228?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,21608228
680,4,,,7,06/10/2020,False,https://www.airbnb.fr/rooms/39545902?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,39545902
259,2,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/34244863?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,34244863
234,,fauville en caux,,1,06/10/2020,False,https://www.airbnb.fr/rooms/12883660?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,12883660
400,,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/32678880?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,32678880
"3,165",4,,,3,06/10/2020,False,https://www.airbnb.fr/rooms/43015104?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,43015104
259,,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/32653212?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,32653212
248,3,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/34387873?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,,34387873
282,2,,,,06/10/2020,False,https://www.airbnb.fr/rooms/8787838?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,appartement,8787838
376,2,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/33468646?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=aa4ccc26-e830-423c-a767-63df2d80c35a,appartement,33468646
247,3,,,1,06/10/2020,False,https://www.airbnb.fr/rooms/36517899?location=Yvetot&check_in=2020-10-06&check_out=2020-10-07&previous_page_section_name=1000&federated_search_id=6efc86e5-fb70-4343-8268-b13799e69546,,36517899
