pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,url,type,id
"1,405",7,,,,01/09/2020,False,https://www.airbnb.fr/rooms/31814889?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,31814889
679,2,,,5,01/09/2020,False,https://www.airbnb.fr/rooms/10334281?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,10334281
318,4,,,4,01/09/2020,False,https://www.airbnb.fr/rooms/39354346?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,39354346
282,9,,,3,01/09/2020,False,https://www.airbnb.fr/rooms/6510796?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,6510796
271,5,,,,01/09/2020,False,https://www.airbnb.fr/rooms/39064355?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,39064355
341,4,,,,01/09/2020,False,https://www.airbnb.fr/rooms/8175240?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,8175240
283,2,,,,01/09/2020,False,https://www.airbnb.fr/rooms/43355587?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,43355587
216,2,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/22236038?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,22236038
512,3,,,,01/09/2020,False,https://www.airbnb.fr/rooms/42290936?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,42290936
259,4,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/25288746?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,25288746
335,2,berville,,1,01/09/2020,False,https://www.airbnb.fr/rooms/42990048?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,42990048
205,,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/16566135?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,16566135
632,3,,,,01/09/2020,False,https://www.airbnb.fr/rooms/34266777?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,34266777
294,3,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/32775117?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,32775117
291,,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/38373220?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,38373220
528,4,,,,01/09/2020,False,https://www.airbnb.fr/rooms/33514415?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,33514415
216,2,,,,01/09/2020,False,https://www.airbnb.fr/rooms/43360172?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,43360172
540,4,berville,,,01/09/2020,False,https://www.airbnb.fr/rooms/21919981?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,21919981
206,2,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/24882108?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,24882108
"1,458",3,bolleville,,3,01/09/2020,False,https://www.airbnb.fr/rooms/43012587?location=Yvetot&checkout=&check_in=2020-09-01&previous_page_section_name=1000&federated_search_id=7e7cf60c-b24b-414f-a1f2-099d88bfceea,,43012587
206,2,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/24882108?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,24882108
"1,458",3,bolleville,,3,01/09/2020,False,https://www.airbnb.fr/rooms/43012587?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,43012587
184,2,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/18744711?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,18744711
817,3,,,,01/09/2020,False,https://www.airbnb.fr/rooms/31946866?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,31946866
679,8,,,4,01/09/2020,False,https://www.airbnb.fr/rooms/10048889?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,10048889
591,,,,,01/09/2020,False,https://www.airbnb.fr/rooms/21608228?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,21608228
679,2,,,5,01/09/2020,False,https://www.airbnb.fr/rooms/25696755?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,25696755
294,2,,,1,01/09/2020,True,https://www.airbnb.fr/rooms/39051239?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,villa,39051239
259,2,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/34244863?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,34244863
"3,165",4,,,3,01/09/2020,False,https://www.airbnb.fr/rooms/43015104?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,43015104
259,,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/32653212?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,32653212
248,3,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/34387873?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,34387873
294,,,,,01/09/2020,False,https://www.airbnb.fr/rooms/35336190?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,35336190
680,4,,,7,01/09/2020,False,https://www.airbnb.fr/rooms/39545902?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,39545902
234,,fauville en caux,,1,01/09/2020,False,https://www.airbnb.fr/rooms/12883660?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,12883660
499,3,,,,01/09/2020,False,https://www.airbnb.fr/rooms/32692749?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,32692749
233,,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/26762118?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,26762118
247,3,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/36517899?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,36517899
257,,fauville en caux,,,01/09/2020,False,https://www.airbnb.fr/rooms/12888381?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,12888381
236,,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/34440211?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=72af8ad9-c2d3-4e1b-8474-a7e8ae514915,,34440211
257,,fauville en caux,,,01/09/2020,False,https://www.airbnb.fr/rooms/12888381?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=23a02ad5-022b-4bd3-9fa3-4ae3f03ebc79,,12888381
236,,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/34440211?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=23a02ad5-022b-4bd3-9fa3-4ae3f03ebc79,,34440211
409,,fauville en caux,,1,01/09/2020,False,https://www.airbnb.fr/rooms/12887830?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=23a02ad5-022b-4bd3-9fa3-4ae3f03ebc79,,12887830
230,,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/24465644?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=23a02ad5-022b-4bd3-9fa3-4ae3f03ebc79,,24465644
329,,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/24219464?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=23a02ad5-022b-4bd3-9fa3-4ae3f03ebc79,,24219464
225,,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/24899178?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=23a02ad5-022b-4bd3-9fa3-4ae3f03ebc79,,24899178
528,,,,1,01/09/2020,False,https://www.airbnb.fr/rooms/33902249?location=Yvetot&check_in=2020-09-01&check_out=2020-09-02&previous_page_section_name=1000&federated_search_id=23a02ad5-022b-4bd3-9fa3-4ae3f03ebc79,appartement,33902249
"1,405",7,,,,08/09/2020,False,https://www.airbnb.fr/rooms/31814889?location=Yvetot&checkout=&check_in=2020-09-08&previous_page_section_name=1000&federated_search_id=80113cdd-c1ab-4035-b60b-2f8ead431f9c,,31814889
491,4,,,,08/09/2020,True,https://www.airbnb.fr/rooms/38375361?location=Yvetot&checkout=&check_in=2020-09-08&previous_page_section_name=1000&federated_search_id=80113cdd-c1ab-4035-b60b-2f8ead431f9c,,38375361
679,2,,,5,08/09/2020,False,https://www.airbnb.fr/rooms/10334281?location=Yvetot&checkout=&check_in=2020-09-08&previous_page_section_name=1000&federated_search_id=80113cdd-c1ab-4035-b60b-2f8ead431f9c,,10334281
318,4,,,4,08/09/2020,False,https://www.airbnb.fr/rooms/39354346?location=Yvetot&checkout=&check_in=2020-09-08&previous_page_section_name=1000&federated_search_id=80113cdd-c1ab-4035-b60b-2f8ead431f9c,,39354346
271,5,,,,08/09/2020,False,https://www.airbnb.fr/rooms/39064355?location=Yvetot&checkout=&check_in=2020-09-08&previous_page_section_name=1000&federated_search_id=80113cdd-c1ab-4035-b60b-2f8ead431f9c,,39064355
283,2,,,,08/09/2020,False,https://www.airbnb.fr/rooms/43355587?location=Yvetot&checkout=&check_in=2020-09-08&previous_page_section_name=1000&federated_search_id=80113cdd-c1ab-4035-b60b-2f8ead431f9c,,43355587
